draft_year,pick,round,pos,G,age,avg_team_sp,qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,Sk,Solo,Ast,Comb,TFL,Int,PD
2022,98,3,RB,66.0,23.0,32.10886075949367,,,,,,,,,,545.0,2704.0,5.0,29.0,52.0,446.0,8.6,2.0,,,,,,,,,,,,
2022,109,4,S,63.0,23.0,8.72325581395349,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,35.0
2022,82,3,DL,62.0,23.0,-7.845238095238097,,,,,,,,,,,,,,,,,,,,,,,34.0,179.0,170.0,349.0,60.0,,
2022,214,6,DB,62.0,23.0,3.3068181818181817,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,24.0
2022,71,3,WR,62.0,25.0,9.669047619047618,,,,,,,,,,,,,,,,,,120.0,1434.0,12.0,11.0,23.1,,,,,,,
2022,182,6,LB,62.0,23.0,-1.590624999999999,,,,,,,,,,,,,,,,,,,,,,,14.0,130.0,103.0,233.0,28.0,,
2022,203,6,RB,61.0,23.0,3.6171717171717175,,,,,,,,,,343.0,1690.0,4.9,9.0,127.0,1515.0,11.9,11.0,,,,,,,,,,,,
2022,116,4,DE,60.0,24.0,10.54516129032258,,,,,,,,,,,,,,,,,,,,,,,15.0,70.0,75.0,145.0,34.5,,
2022,216,6,DE,60.0,24.0,6.909677419354839,,,,,,,,,,,,,,,,,,,,,,,12.0,85.0,77.0,162.0,23.0,,
2022,193,6,LB,59.0,24.0,14.711363636363636,,,,,,,,,,,,,,,,,,,,,,,13.5,141.0,75.0,216.0,26.5,,
2020,127,4,DB,59.0,23.0,28.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,16.0
2022,240,7,DB,59.0,24.0,12.346808510638295,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,30.0
2022,169,5,RB,59.0,24.0,4.835294117647059,,,,,,,,,,603.0,3138.0,5.2,26.0,73.0,681.0,9.3,4.0,,,,,,,,,,,,
2020,100,3,S,58.0,24.0,28.26744186046512,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,14.0
2019,13,1,DT,58.0,23.0,28.17659574468085,,,,,,,,,,,,,,,,,,,,,,,16.0,94.0,97.0,191.0,41.0,,
2022,253,7,CB,58.0,23.0,4.1866666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,19.0
2013,229,7,DL,57.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,59.0,47.0,106.0,15.0,,
2022,181,6,LB,57.0,24.0,-12.461290322580645,,,,,,,,,,,,,,,,,,,,,,,11.5,126.0,65.0,191.0,22.0,,
2012,249,7,DL,56.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,6.5,71.0,52.0,123.0,21.0,,
2013,161,5,WR,56.0,23.0,23.428571428571427,,,,,,,,,,,,,,,,,,136.0,2602.0,19.1,21.0,46.5,,,,,,,
2022,259,7,S,56.0,24.0,1.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,19.0
2020,53,2,QB,56.0,22.0,30.46853932584269,682.0,1046.0,65.2,9477.0,80.0,20.0,9.1,9.73,169.2,,,,,,,,,,,,,,,,,,,,
2015,197,6,DB,56.0,23.0,2.3342105263157897,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0
2018,100,3,LB,56.0,24.0,27.412,,,,,,,,,,,,,,,,,,,,,,,8.5,129.0,77.0,206.0,28.0,,
2022,204,6,DB,56.0,23.0,4.571794871794872,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,18.0
2022,229,7,WR,56.0,23.0,-10.668115942028988,,,,,,,,,,,,,,,,,,164.0,2011.0,12.3,11.0,35.9,,,,,,,
2019,87,3,RB,56.0,22.0,32.24166666666667,,,,,,,,,,441.0,2779.0,6.3,21.0,52.0,407.0,7.8,2.0,,,,,,,,,,,,
2012,152,5,WR,55.0,24.0,18.678688524590164,,,,,,,,,,,,,,,,,,165.0,2658.0,16.1,8.0,48.3,,,,,,,
2014,41,2,DB,55.0,23.0,27.950000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0
2021,85,3,WR,55.0,21.0,27.845132743362832,,,,,,,,,,,,,,,,,,181.0,2144.0,11.8,15.0,39.0,,,,,,,
2021,24,1,RB,55.0,23.0,31.866666666666667,,,,,,,,,,638.0,3843.0,6.0,46.0,80.0,781.0,9.8,11.0,,,,,,,,,,,,
2011,144,5,DB,55.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,
2019,249,7,DL,55.0,23.0,5.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,8.5,77.0,81.0,158.0,19.5,,
2022,166,5,DB,55.0,23.0,-1.0853658536585369,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,17.0
2019,149,5,WR,55.0,23.0,27.65373134328358,,,,,,,,,,,,,,,,,,186.0,2133.0,11.5,15.0,38.8,,,,,,,
2010,25,1,QB,55.0,23.0,30.7,661.0,995.0,66.4,9285.0,88.0,16.0,9.3,10.38,168.8,,,,,,,,,,,,,,,,,,,,
2021,25,1,RB,55.0,22.0,27.62043010752688,,,,,,,,,,686.0,4952.0,7.2,70.0,102.0,1155.0,11.3,8.0,,,,,,,,,,,,
2015,64,2,DB,54.0,22.0,10.711764705882352,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
