name,college,height,weight,vert,broad,bench,shuttle,cone,10yd,20yd,40yd,season,position,name_norm,player_id
Brad Banks,Iowa,70.75,201,33.5,112.0,,,,,,,2003,QB,brad banks,
Josh Blankenship,Tulsa,73.875,211,28.5,103.0,,4.42,7.59,1.78,2.97,5.14,2003,QB,josh blankenship,
Kyle Boller,California,75.0,234,35.5,117.0,,4.02,7.2,1.6,2.69,4.61,2003,QB,kyle boller,
D. Bryant,Duke,74.0,218,35.5,114.0,,4.4,7.36,1.71,2.77,4.73,2003,QB,d bryant,
Ken Dorsey,Miami (FL),76.625,208,,,,,,,,,2003,QB,ken dorsey,
Jason Gesser,Washington State,72.625,205,,,,,,,,,2003,QB,jason gesser,
Rex Grossman,Florida,73.0,217,,,,,,,,,2003,QB,rex grossman,
Kliff Kingsbury,Texas Tech,75.5,213,30.0,101.0,,4.1,6.92,1.63,2.74,4.77,2003,QB,kliff kingsbury,
Byron Leftwich,Marshall,77.375,241,,,,,,,,,2003,QB,byron leftwich,
Carson Palmer,Southern California,77.0,232,,,,,,,,,2003,QB,carson palmer,
Dave Ragone,Louisville,75.625,249,30.5,101.0,,4.36,7.42,1.78,2.93,4.99,2003,QB,dave ragone,
Tony Romo,Eastern Illinois,74.0,230,30.0,105.0,,4.2,7.11,1.72,2.9,5.01,2003,QB,tony romo,
Brian Saint Pierre,Boston College,74.75,218,30.0,106.0,,,,1.8,2.85,4.82,2003,QB,brian saint pierre,
Chris Simms,Texas,76.375,220,31.0,103.0,,4.21,7.38,1.69,2.83,4.84,2003,QB,chris simms,
Seneca Wallace,Iowa State,71.375,196,38.0,127.0,,4.14,6.98,1.62,2.67,4.56,2003,QB,seneca wallace,
Juston Wood,Portland State,72.625,207,32.5,113.0,,4.16,7.14,1.69,2.83,4.78,2003,QB,juston wood,
Casey Clausen,Tennessee,75.5,223,,,,,,,,,2004,QB,casey clausen,
