Int,PD,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
11.0,14.5,60.0,71.0,193.0,4.6,16.0,36.0,122.0,6.94,4.16,23.0,22.0,2000
6.0,14.5,60.0,74.0,206.0,4.55,16.0,34.0,123.0,7.18,4.15,23.0,6.0,2000
13.0,14.5,60.0,71.0,191.0,4.43,16.0,36.0,122.0,6.94,4.16,24.0,24.0,2000
10.0,14.5,60.0,71.0,188.0,4.55,16.0,36.0,122.0,6.94,4.16,23.0,9.0,2000
9.0,14.5,60.0,70.0,204.0,4.59,14.0,36.0,116.0,6.93,4.01,22.0,51.0,2000
10.0,14.5,60.0,73.0,207.0,4.62,15.0,39.5,119.0,6.48,4.29,23.0,12.0,2000
5.0,14.5,60.0,73.0,221.0,4.71,8.0,33.5,113.0,7.08,4.38,22.0,22.0,2000
7.0,14.5,60.0,69.0,180.0,4.42,17.0,35.5,122.0,6.76,3.98,22.0,17.0,2000
12.0,14.5,60.0,71.0,195.0,4.45,16.0,36.0,122.0,6.94,4.16,22.0,1.0,2000
8.0,14.5,60.0,71.0,205.0,4.47,16.0,36.0,126.0,6.94,4.16,22.0,3.0,2000
2.0,14.5,60.0,73.0,192.0,4.43,16.0,38.5,124.0,6.7,3.99,23.0,13.0,2000
14.0,14.5,60.0,74.0,209.0,4.5,15.0,36.0,122.0,6.94,4.16,21.0,22.0,2000
7.0,14.5,60.0,73.0,194.0,4.6,15.0,37.5,123.0,6.95,4.29,22.0,5.0,2000
2.0,14.5,60.0,73.0,195.0,4.53,5.0,35.0,120.0,6.94,4.16,21.0,1.0,2000
12.0,14.5,60.0,70.0,190.0,4.5,16.0,37.5,119.0,7.12,4.25,23.0,0.0,2000
9.0,14.5,60.0,70.0,197.0,4.57,16.0,37.0,126.0,6.66,4.0,23.0,4.0,2000
11.0,14.5,60.0,69.0,183.0,4.53,17.0,36.0,116.0,6.63,3.95,21.0,0.0,2000
8.0,14.5,60.0,69.0,194.0,4.54,16.0,37.5,120.0,6.9,4.09,22.0,14.0,2000
10.0,14.5,60.0,72.0,202.0,4.5,10.0,37.0,116.0,6.94,4.16,22.0,7.0,2000
7.0,14.5,60.0,70.0,199.0,4.44,16.0,37.5,116.0,6.81,4.04,22.0,13.0,2000
6.0,14.5,60.0,71.0,190.0,4.42,16.0,34.0,125.0,6.94,4.16,24.0,3.0,2000
3.0,14.5,60.0,68.0,190.0,4.5,16.0,41.0,121.0,6.75,4.19,24.0,7.0,2000
7.0,14.5,60.0,73.0,183.0,4.56,16.0,37.5,123.0,7.04,4.1,23.0,3.0,2000
9.0,14.5,60.0,69.0,175.0,4.44,17.0,35.0,119.0,7.03,4.14,23.0,3.0,2000
7.0,14.5,60.0,71.0,204.0,4.55,16.0,36.0,122.0,6.94,4.16,22.0,0.0,2000
2.0,14.5,60.0,69.0,184.0,4.44,20.0,35.5,117.0,6.73,4.0,23.0,1.0,2000
6.0,14.5,60.0,71.0,178.0,4.5,16.0,34.5,122.0,6.87,4.2,22.0,5.0,2000
6.0,14.5,60.0,69.0,211.0,4.56,24.0,36.0,122.0,6.94,4.16,23.0,5.0,2000
11.0,14.5,60.0,70.0,185.0,4.55,10.0,36.0,122.0,6.94,4.16,21.0,6.0,2000
6.0,14.5,60.0,72.0,188.0,4.5,14.0,35.5,124.0,6.91,4.38,23.0,13.0,2000
8.0,14.5,60.0,70.0,193.0,4.5,11.0,34.0,116.0,7.45,4.24,23.0,2.0,2000
6.0,14.5,60.0,72.0,191.0,4.46,16.0,36.0,120.0,6.94,4.16,24.0,21.0,2000
6.0,14.5,60.0,69.0,186.0,4.34,16.0,39.0,121.0,6.75,4.01,23.0,5.0,2000
5.0,14.5,60.0,73.0,201.0,4.49,12.0,33.0,115.0,7.06,4.09,23.0,1.0,2000
6.0,14.5,60.0,71.0,196.0,4.53,14.0,36.5,121.0,7.09,4.16,21.0,11.0,2000
6.0,14.5,60.0,72.0,189.0,4.53,16.0,38.5,118.0,6.94,4.2,24.0,2.0,2000
3.0,14.5,60.0,72.0,208.0,4.62,10.0,35.0,114.0,6.92,4.32,22.0,1.0,2000
11.0,14.5,60.0,73.0,208.0,4.63,17.0,35.0,115.0,6.81,4.21,23.0,1.0,2000
6.0,14.5,60.0,72.0,211.0,4.46,31.0,36.0,122.0,6.94,4.16,23.0,26.0,2001
7.0,14.5,60.0,71.0,209.0,4.38,16.0,36.0,122.0,6.94,4.16,21.0,39.0,2001
4.0,14.5,60.0,70.0,192.0,4.44,14.0,39.5,121.0,6.78,3.9,23.0,24.0,2001
4.0,14.5,60.0,74.0,200.0,4.5,17.0,36.0,122.0,6.94,4.16,22.0,4.0,2001
19.0,14.5,60.0,69.0,180.0,4.48,16.0,36.0,122.0,6.94,4.16,22.0,4.0,2001
5.0,14.5,60.0,74.0,218.0,4.45,17.0,36.0,122.0,6.94,4.16,22.0,13.0,2001
3.0,14.5,60.0,74.0,206.0,4.56,22.0,40.0,126.0,7.14,4.2,22.0,18.0,2001
6.0,14.5,60.0,72.0,200.0,4.45,16.0,36.0,122.0,6.94,4.16,22.0,20.0,2001
10.0,14.5,60.0,71.0,172.0,4.48,16.0,36.0,122.0,6.94,4.16,22.0,34.0,2001
3.0,14.5,60.0,71.0,191.0,4.51,17.0,41.0,127.0,6.94,4.16,23.0,2.0,2001
3.0,14.5,60.0,73.0,213.0,4.63,17.0,37.0,117.0,7.38,4.16,22.0,9.0,2001
13.0,14.5,60.0,70.0,179.0,4.4,16.0,36.0,119.0,6.94,4.16,22.0,21.0,2001
6.0,14.5,60.0,74.0,204.0,4.53,16.0,37.5,122.0,7.39,4.21,22.0,16.0,2001
12.0,14.5,60.0,69.0,181.0,4.55,11.0,36.0,122.0,6.94,4.16,23.0,4.0,2001
4.0,14.5,60.0,70.0,199.0,4.46,15.0,36.0,120.0,7.24,4.18,24.0,9.0,2001
7.0,14.5,60.0,72.0,199.0,4.54,16.0,34.5,113.0,7.21,4.27,22.0,8.0,2001
15.0,14.5,60.0,70.0,212.0,4.51,15.0,33.5,114.0,6.94,4.16,23.0,18.0,2001
2.0,14.5,60.0,70.0,217.0,4.6,22.0,36.0,122.0,6.94,4.16,23.0,6.0,2001
6.0,14.5,60.0,71.0,207.0,4.59,16.0,32.5,117.0,7.29,4.24,23.0,2.0,2001
5.0,14.5,60.0,73.0,198.0,4.6,15.0,41.0,126.0,6.9,4.2,24.0,19.0,2001
8.0,14.5,60.0,73.0,202.0,4.48,10.0,40.5,125.0,6.9,4.12,22.0,3.0,2001
3.0,14.5,60.0,72.0,204.0,4.64,14.0,37.0,121.0,6.87,4.12,23.0,6.0,2001
3.0,14.5,60.0,70.0,186.0,4.45,18.0,36.0,114.0,7.2,4.21,23.0,2.0,2001
6.0,14.5,60.0,72.0,222.0,4.45,16.0,41.5,130.0,6.87,3.9,23.0,2.0,2001
10.0,14.5,60.0,70.0,173.0,4.57,11.0,36.0,121.0,7.22,4.4,22.0,16.0,2001
4.0,14.5,60.0,71.0,176.0,4.51,16.0,39.0,124.0,6.94,4.18,22.0,0.0,2001
4.0,14.5,60.0,72.0,210.0,4.55,16.0,36.0,122.0,6.94,4.16,21.0,1.0,2001
7.0,14.5,60.0,71.0,186.0,4.5,9.0,34.5,118.0,7.13,4.2,22.0,4.0,2001
14.0,14.5,60.0,71.0,186.0,4.58,6.0,42.0,129.0,7.09,3.85,23.0,4.0,2001
6.0,14.5,60.0,71.0,208.0,4.65,16.0,30.0,113.0,7.52,4.18,23.0,0.0,2001
6.0,14.5,60.0,71.0,202.0,4.73,16.0,36.0,122.0,7.07,4.12,23.0,5.0,2001
9.0,14.5,60.0,70.0,190.0,4.65,13.0,37.0,120.0,7.21,4.16,22.0,1.0,2001
9.0,14.5,60.0,71.0,178.0,4.68,10.0,35.5,116.0,7.07,4.18,22.0,13.0,2001
10.0,14.5,60.0,71.0,210.0,4.54,17.0,37.0,121.0,7.03,4.28,23.0,1.0,2001
6.0,14.5,60.0,72.0,200.0,4.56,12.0,34.5,119.0,7.14,4.16,23.0,8.0,2001
6.0,14.5,60.0,75.0,198.0,4.5,14.0,36.5,127.0,6.94,4.16,22.0,0.0,2001
6.0,14.5,60.0,72.0,215.0,4.6,12.0,38.0,121.0,6.96,4.17,21.0,17.0,2001
6.0,14.5,60.0,71.0,197.0,4.62,10.0,38.0,117.0,7.36,4.1,24.0,13.0,2001
7.0,14.5,60.0,72.0,214.0,4.59,21.0,34.0,106.0,7.14,4.18,22.0,1.0,2001
7.0,14.5,60.0,72.0,204.0,4.49,18.0,36.0,124.0,6.94,4.16,23.0,51.0,2002
0.0,14.5,60.0,72.0,219.0,4.53,13.0,30.5,115.0,6.94,4.16,22.0,54.0,2002
7.0,14.5,60.0,70.0,186.0,4.31,16.0,36.0,122.0,6.94,4.16,21.0,15.0,2002
21.0,14.5,60.0,71.0,201.0,4.57,16.0,36.0,122.0,6.94,4.16,23.0,100.0,2002
8.0,14.5,60.0,70.0,194.0,4.47,11.0,37.5,120.0,6.94,4.16,21.0,42.0,2002
6.0,14.5,60.0,74.0,205.0,4.47,16.0,36.0,122.0,6.94,4.16,22.0,8.0,2002
