Sk,Solo,Ast,Comb,TFL,Int,PD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
14.5,32.0,30.0,62.0,24.0,,,79.0,295.0,4.7,35.0,40.5,120.0,7.19,4.36,21.0,36.0,2006
9.5,69.0,52.0,121.0,16.5,,,73.0,248.0,4.59,24.0,40.0,115.0,6.82,3.96,22.0,52.0,2006
2.5,22.0,50.0,72.0,10.0,,,71.0,231.0,4.5,25.0,41.0,125.0,7.31,4.22,21.0,18.0,2006
3.0,32.0,29.0,61.0,9.0,,,76.0,338.0,5.13,37.0,31.5,110.0,7.95,4.65,22.0,92.0,2006
9.0,39.0,27.0,66.0,25.0,,,75.0,306.0,5.01,44.0,32.5,113.0,7.23,4.39,22.0,25.0,2006
2.0,92.0,64.0,156.0,10.0,,,74.0,242.0,4.76,16.0,33.5,117.0,7.0,4.22,23.0,66.0,2006
8.0,33.0,16.0,49.0,10.5,,,74.0,256.0,4.65,24.0,33.0,116.0,7.23,4.39,23.0,5.0,2006
11.0,27.0,38.0,65.0,17.0,,,75.0,275.0,4.87,24.0,33.0,116.0,7.23,4.39,22.0,75.0,2006
10.5,33.0,25.0,58.0,19.5,,,77.0,241.0,4.43,23.0,39.5,124.0,6.9,4.18,22.0,23.0,2006
0.5,10.0,14.0,24.0,9.0,,,73.0,302.0,5.15,25.0,30.5,110.0,7.79,4.48,23.0,4.0,2006
9.5,34.0,17.0,51.0,16.5,,,78.0,266.0,4.7,17.0,32.0,120.0,7.27,4.13,23.0,37.0,2006
5.0,41.0,35.0,76.0,11.5,,,73.0,236.0,4.65,23.0,39.0,129.0,7.19,4.17,22.0,39.0,2006
4.0,56.0,81.0,137.0,6.5,,,72.0,230.0,4.73,19.0,37.0,116.0,7.05,4.36,22.0,40.0,2006
3.0,47.0,38.0,85.0,7.0,,,75.0,239.0,4.42,21.0,39.0,124.0,6.96,4.28,23.0,25.0,2006
10.0,27.0,21.0,48.0,14.5,,,74.0,252.0,4.83,27.0,33.0,109.0,7.31,4.48,21.0,21.0,2006
1.0,96.0,62.0,158.0,11.0,,,72.0,236.0,4.76,24.0,31.0,108.0,7.09,4.3,23.0,1.0,2006
4.5,17.0,27.0,44.0,10.5,,,74.0,302.0,5.08,24.0,33.0,116.0,7.23,4.39,22.0,2.0,2006
4.0,17.0,22.0,39.0,13.5,,,75.0,306.0,5.01,31.0,34.0,110.0,7.62,4.35,25.0,6.0,2006
2.0,43.0,39.0,82.0,7.0,,,72.0,250.0,4.88,21.0,32.0,111.0,7.41,4.38,25.0,0.0,2006
6.5,31.0,21.0,52.0,9.5,,,73.0,223.0,4.5,30.0,40.0,132.0,6.9,4.13,23.0,0.0,2006
5.0,35.0,26.0,61.0,10.5,,,74.0,244.0,4.65,22.0,41.0,116.0,7.12,4.1,23.0,21.0,2006
3.0,41.0,41.0,82.0,8.5,,,75.0,229.0,4.59,24.0,41.0,121.0,6.67,4.07,22.0,25.0,2006
6.5,37.0,21.0,58.0,13.0,,,75.0,267.0,4.88,24.0,29.5,110.0,7.23,4.39,22.0,10.0,2006
1.0,68.0,45.0,113.0,11.5,,,71.0,224.0,4.68,15.0,36.0,113.0,7.01,4.12,23.0,15.0,2006
4.0,44.0,41.0,85.0,9.0,,,75.0,233.0,4.66,19.0,39.0,122.0,7.21,4.17,23.0,6.0,2006
2.0,25.0,15.0,40.0,6.5,,,75.0,339.0,5.27,36.0,25.0,96.0,8.28,4.8,22.0,11.0,2006
0.0,35.0,19.0,54.0,3.5,,,75.0,245.0,4.54,25.0,33.0,116.0,7.23,4.39,23.0,8.0,2006
6.5,32.0,15.0,47.0,12.0,,,76.0,274.0,4.86,22.0,32.0,112.0,7.37,4.41,23.0,13.0,2006
6.0,59.0,75.0,134.0,21.0,,,71.0,241.0,4.84,27.0,33.5,113.0,7.19,4.15,21.0,20.0,2006
2.0,48.0,22.0,70.0,4.0,,,72.0,236.0,4.59,24.0,37.0,120.0,7.03,4.29,22.0,5.0,2006
1.0,33.0,20.0,53.0,2.5,,,75.0,307.0,5.27,25.0,28.5,103.0,7.69,4.49,21.0,60.0,2006
2.0,23.0,39.0,62.0,6.5,,,76.0,304.0,4.95,35.0,34.0,105.0,7.43,4.35,22.0,30.0,2006
20.0,36.0,27.0,63.0,22.0,,,71.0,257.0,4.75,30.0,33.0,116.0,7.23,4.39,22.0,41.0,2006
5.5,22.0,6.0,28.0,11.0,,,77.0,273.0,4.81,30.0,39.0,114.0,7.71,4.57,21.0,28.0,2006
8.0,35.0,13.0,48.0,17.0,,,75.0,260.0,4.91,23.0,34.5,116.0,6.96,4.18,22.0,0.0,2006
0.0,20.0,24.0,44.0,4.0,,,72.0,232.0,4.51,41.0,39.0,124.0,6.97,4.11,23.0,0.0,2006
8.5,33.0,12.0,45.0,17.0,,,73.0,253.0,4.8,24.0,32.0,115.0,7.37,4.26,22.0,31.0,2006
2.0,45.0,28.0,73.0,8.5,,,77.0,228.0,4.44,11.0,37.0,118.0,7.17,4.34,23.0,0.0,2006
1.0,48.0,55.0,103.0,7.5,,,73.0,246.0,4.59,23.0,35.5,110.0,7.25,4.39,23.0,9.0,2006
7.0,24.0,26.0,50.0,9.0,,,76.0,277.0,5.03,25.0,34.5,110.0,7.11,4.23,22.0,1.0,2006
1.0,53.0,47.0,100.0,9.5,,,73.0,252.0,4.88,25.0,33.0,116.0,7.37,4.43,23.0,0.0,2006
6.5,23.0,17.0,40.0,14.5,,,76.0,254.0,4.62,20.0,42.0,127.0,6.95,4.22,23.0,15.0,2006
4.0,50.0,28.0,78.0,8.0,,,73.0,234.0,4.78,23.0,37.0,116.0,7.31,4.28,22.0,22.0,2006
2.0,18.0,17.0,35.0,7.0,,,72.0,311.0,5.37,24.0,33.0,116.0,7.23,4.39,23.0,1.0,2006
4.5,15.0,23.0,38.0,7.5,,,73.0,309.0,4.97,24.0,33.5,111.0,7.4,4.4,22.0,0.0,2006
5.0,60.0,39.0,99.0,14.5,,,73.0,235.0,4.76,24.0,32.5,115.0,7.22,4.16,22.0,19.0,2006
4.5,36.0,18.0,54.0,10.5,,,74.0,304.0,5.27,33.0,32.0,105.0,7.87,4.54,23.0,0.0,2006
5.0,19.0,44.0,63.0,11.5,,,75.0,317.0,5.41,24.0,33.0,104.0,7.23,4.39,23.0,21.0,2006
1.0,13.0,7.0,20.0,2.0,,,76.0,300.0,4.88,31.0,33.0,111.0,7.6,4.45,23.0,27.0,2006
9.0,33.0,31.0,64.0,11.0,,,75.0,276.0,5.08,24.0,33.0,116.0,7.23,4.39,23.0,5.0,2006
4.5,40.0,18.0,58.0,6.5,,,77.0,262.0,4.63,27.0,33.0,116.0,7.75,4.51,24.0,0.0,2006
2.0,81.0,75.0,156.0,7.0,,,73.0,242.0,4.73,24.0,38.0,118.0,7.09,4.07,22.0,1.0,2006
3.0,11.0,16.0,27.0,7.5,,,77.0,300.0,5.08,31.0,32.0,110.0,7.84,4.51,22.0,4.0,2006
8.0,21.0,10.0,31.0,13.5,,,74.0,262.0,4.7,19.0,39.0,114.0,7.87,4.5,21.0,1.0,2006
4.0,29.0,14.0,43.0,14.5,,,76.0,258.0,4.7,19.0,33.5,115.0,7.48,4.52,23.0,0.0,2006
21.0,59.0,37.0,96.0,27.5,,,77.0,258.0,4.64,24.0,35.0,119.0,7.17,4.36,24.0,17.0,2007
17.0,58.0,24.0,82.0,31.0,,,77.0,288.0,4.75,24.0,33.0,116.0,7.23,4.39,21.0,19.0,2007
8.5,50.0,27.0,77.0,16.5,,,74.0,302.0,5.07,29.0,30.0,111.0,7.46,4.39,20.0,21.0,2007
6.0,177.0,88.0,265.0,21.0,,,73.0,242.0,4.51,22.0,39.0,119.0,7.23,4.46,22.0,93.0,2007
16.5,50.0,45.0,95.0,28.5,,,78.0,296.0,4.9,33.0,33.5,110.0,7.06,4.18,23.0,9.0,2007
8.0,59.0,55.0,114.0,21.5,,,73.0,234.0,4.66,25.0,35.0,123.0,6.89,4.32,21.0,68.0,2007
2.5,24.0,22.0,46.0,9.0,,,76.0,300.0,5.04,24.0,30.5,108.0,7.63,4.79,23.0,2.0,2007
15.0,61.0,20.0,81.0,22.0,,,78.0,250.0,4.7,16.0,30.5,120.0,7.23,4.39,23.0,2.0,2007
1.5,81.0,51.0,132.0,15.5,,,72.0,237.0,4.72,19.0,33.0,111.0,7.23,4.39,22.0,48.0,2007
12.5,84.0,31.0,115.0,32.0,,,75.0,261.0,4.7,30.0,32.5,112.0,7.14,4.43,23.0,34.0,2007
4.5,33.0,23.0,56.0,13.0,,,78.0,324.0,5.07,33.0,27.5,107.0,7.23,4.39,22.0,4.0,2007
6.0,133.0,99.0,232.0,20.5,,,74.0,238.0,4.7,22.0,37.0,116.0,6.94,4.2,22.0,17.0,2007
18.0,57.0,27.0,84.0,30.5,,,73.0,266.0,4.74,24.0,33.0,116.0,7.23,4.39,22.0,50.0,2007
3.0,73.0,23.0,96.0,15.0,,,74.0,243.0,4.59,23.0,33.0,107.0,7.25,4.29,23.0,73.0,2007
3.5,54.0,29.0,83.0,12.0,,,74.0,277.0,4.81,27.0,31.0,108.0,7.1,4.12,22.0,6.0,2007
11.5,47.0,17.0,64.0,21.0,,,76.0,272.0,4.69,32.0,30.5,111.0,7.28,4.32,22.0,2.0,2007
