Sk,TFL,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
11.5,24.0,58.0,77.0,269.0,4.78,25.0,32.0,112.0,7.44,4.49,22.0,2,2000
11.5,24.0,58.0,74.0,297.0,4.83,25.0,32.0,112.0,7.44,4.49,23.0,2,2000
11.5,24.0,58.0,76.0,280.0,4.85,25.0,32.0,112.0,7.44,4.49,23.0,2,2000
11.5,24.0,58.0,74.0,305.0,4.99,35.0,30.0,101.0,6.85,4.16,22.0,2,2000
11.5,24.0,58.0,76.0,271.0,4.75,24.0,33.0,114.0,7.21,4.15,22.0,1,2000
11.5,24.0,58.0,76.0,281.0,5.09,25.0,29.0,108.0,7.0,4.32,23.0,2,2000
11.5,24.0,58.0,76.0,260.0,4.73,24.0,34.0,115.0,6.95,4.28,23.0,2,2000
11.5,24.0,58.0,75.0,297.0,4.9,30.0,31.0,111.0,7.63,4.62,23.0,2,2000
11.5,24.0,58.0,76.0,312.0,5.09,25.0,29.5,94.0,7.72,4.72,23.0,1,2000
11.5,24.0,58.0,74.0,293.0,4.82,25.0,32.0,112.0,7.44,4.49,23.0,0,2000
11.5,24.0,58.0,73.0,283.0,5.25,25.0,27.5,108.0,7.98,4.65,21.0,1,2000
11.5,24.0,58.0,73.0,307.0,5.1,29.0,30.5,105.0,7.97,4.56,22.0,0,2000
11.5,24.0,58.0,72.0,293.0,5.03,26.0,28.5,102.0,7.44,4.49,23.0,0,2000
11.5,24.0,58.0,75.0,324.0,5.12,25.0,32.0,112.0,7.44,4.49,23.0,0,2000
11.5,24.0,58.0,73.0,283.0,5.06,22.0,28.0,106.0,7.82,4.75,23.0,1,2000
11.5,24.0,58.0,76.0,289.0,5.09,22.0,27.5,102.0,7.73,4.61,22.0,0,2000
11.5,24.0,58.0,75.0,282.0,4.9,25.0,30.5,111.0,7.22,4.25,24.0,2,2000
11.5,24.0,58.0,77.0,310.0,5.26,19.0,28.5,99.0,7.72,4.6,23.0,1,2000
11.5,24.0,58.0,74.0,278.0,4.94,27.0,29.5,106.0,7.2,4.47,23.0,2,2000
11.5,24.0,58.0,77.0,316.0,5.31,24.0,29.5,98.0,8.0,5.03,24.0,0,2000
11.5,24.0,58.0,77.0,286.0,5.16,22.0,32.0,112.0,7.44,4.49,23.0,0,2000
11.5,24.0,58.0,77.0,296.0,5.05,19.0,31.5,105.0,7.69,4.72,22.0,1,2000
11.5,24.0,58.0,74.0,270.0,4.56,25.0,38.5,120.0,7.44,4.42,23.0,2,2000
11.5,24.0,58.0,76.0,300.0,5.08,45.0,30.0,110.0,7.46,4.37,25.0,0,2000
11.5,24.0,58.0,76.0,275.0,4.88,25.0,32.0,112.0,7.44,4.49,22.0,1,2000
11.5,24.0,58.0,77.0,284.0,4.99,27.0,30.5,113.0,7.49,4.52,23.0,2,2000
11.5,24.0,58.0,76.0,325.0,5.0,25.0,32.0,112.0,7.44,4.49,23.0,2,2001
11.5,24.0,58.0,76.0,267.0,4.64,26.0,34.0,117.0,7.44,4.49,21.0,2,2001
11.5,24.0,58.0,78.0,299.0,4.95,25.0,32.0,112.0,7.44,4.49,21.0,2,2001
11.5,24.0,58.0,76.0,249.0,4.84,20.0,38.5,132.0,7.44,4.24,22.0,2,2001
11.5,24.0,58.0,75.0,267.0,4.72,25.0,32.0,112.0,7.44,4.49,22.0,0,2001
11.5,24.0,58.0,75.0,293.0,4.9,22.0,32.0,112.0,7.44,4.49,23.0,1,2001
11.5,24.0,58.0,78.0,321.0,5.13,21.0,30.0,110.0,8.07,4.72,23.0,2,2001
11.5,24.0,58.0,73.0,314.0,5.25,34.0,32.0,112.0,7.44,4.49,24.0,2,2001
11.5,24.0,58.0,74.0,309.0,5.1,25.0,32.0,112.0,7.44,4.49,21.0,2,2001
11.5,24.0,58.0,76.0,270.0,4.75,26.0,36.5,119.0,6.82,4.08,22.0,1,2001
11.5,24.0,58.0,77.0,318.0,5.19,33.0,31.0,108.0,7.85,4.4,22.0,2,2001
11.5,24.0,58.0,76.0,263.0,4.75,25.0,38.0,119.0,7.16,4.03,24.0,2,2001
11.5,24.0,58.0,75.0,295.0,4.94,23.0,32.0,112.0,7.44,4.49,23.0,0,2001
11.5,24.0,58.0,76.0,320.0,5.28,25.0,32.0,112.0,7.44,4.49,22.0,2,2001
11.5,24.0,58.0,74.0,264.0,4.92,24.0,40.0,125.0,7.85,4.49,23.0,1,2001
11.5,24.0,58.0,75.0,302.0,5.23,27.0,32.0,112.0,7.44,4.49,22.0,1,2001
11.5,24.0,58.0,75.0,293.0,4.86,25.0,32.0,112.0,7.44,4.49,22.0,1,2001
11.5,24.0,58.0,75.0,299.0,5.24,25.0,30.0,100.0,8.0,4.8,23.0,1,2001
11.5,24.0,58.0,77.0,255.0,4.91,21.0,41.0,127.0,7.43,4.43,22.0,1,2001
11.5,24.0,58.0,75.0,280.0,4.77,25.0,32.0,112.0,7.44,4.49,21.0,1,2001
11.5,24.0,58.0,75.0,316.0,4.93,25.0,32.0,112.0,7.44,4.49,22.0,1,2001
11.5,24.0,58.0,74.0,264.0,4.75,25.0,32.0,112.0,7.44,4.49,23.0,0,2001
11.5,24.0,58.0,76.0,270.0,4.83,25.0,34.5,110.0,7.32,4.28,23.0,1,2001
11.5,24.0,58.0,78.0,281.0,4.86,23.0,35.5,107.0,7.67,4.37,23.0,0,2001
11.5,24.0,58.0,73.0,319.0,5.32,17.0,32.0,98.0,8.07,4.71,22.0,1,2001
11.5,24.0,58.0,73.0,310.0,5.18,23.0,30.0,103.0,7.5,4.61,25.0,0,2001
11.5,24.0,58.0,74.0,295.0,5.29,25.0,32.0,112.0,7.44,4.49,22.0,0,2001
11.5,24.0,58.0,75.0,309.0,4.9,25.0,33.0,110.0,7.75,4.72,22.0,0,2001
11.5,24.0,58.0,75.0,283.0,5.1,25.0,32.0,112.0,7.44,4.49,21.0,1,2001
11.5,24.0,58.0,75.0,285.0,4.97,25.0,28.0,103.0,7.71,4.47,22.0,1,2001
11.5,24.0,58.0,77.0,272.0,4.95,24.0,35.5,114.0,7.12,4.21,24.0,1,2001
11.5,24.0,58.0,75.0,290.0,4.87,25.0,34.5,111.0,7.37,4.36,23.0,0,2001
