Player,Rate,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,qb_Cmp,qb_Att,qb_Inc,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_TD%,qb_Int%,qb_Y/A,qb_AY/A,qb_Y/C,qb_Y/G,Pos,Team,rb_rush_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y/A,rb_rush_TD,rb_rec_Rec,rb_rec_Y/R,rb_rec_TD,rb_rec_Y/G,rec_Y/G,rec_Rec,rec_Yds,rec_Y/R,rec_TD,Sk,Solo,Ast,Comb,TFL,Sk/G,Int,IntTD,PD,dr_av,PosGroup
Von Miller,,DEN,1,2,2011,Texas A&M,2007,2010,47.0,,,,,,,,,,,,,,DL,Texas A&M,,,,,,,,,,,,,,,33.0,104.0,77.0,181.0,50.5,0.7021276595744681,,,,97.0,Front7
Marcell Dareus,,BUF,1,3,2011,Alabama,2009,2010,25.0,,,,,,,,,,,,,,DL,Alabama,,,,,,,,,,,,,,,11.0,39.0,27.0,66.0,20.0,0.44,,,,47.0,Front7
Aldon Smith,,SFO,1,7,2011,Missouri,2009,2010,23.0,,,,,,,,,,,,,,DL,Missouri,,,,,,,,,,,,,,,14.0,52.0,27.0,79.0,23.0,0.6086956521739131,,,,24.0,Front7
J.J. Watt,,HTX,1,11,2011,Wisconsin,2009,2010,26.0,,,,,,,,,,,,,,DL,Wisconsin,,,,,,,,,,,,,,,11.0,74.0,32.0,106.0,36.5,0.4230769230769231,,,,105.0,Front7
Nick Fairley,,DET,1,13,2011,Auburn,2009,2010,27.0,,,,,,,,,,,,,,DL,Auburn,,,,,,,,,,,,,,,13.0,50.0,38.0,88.0,27.5,0.4814814814814814,,,,16.0,Front7
Robert Quinn,,RAM,1,14,2011,North Carolina,2008,2009,25.0,,,,,,,,,,,,,,DL,North Carolina,,,,,,,,,,,,,,,13.0,57.0,29.0,86.0,25.5,0.52,,,,43.0,Front7
Ryan Kerrigan,,WAS,1,16,2011,Purdue,2007,2010,48.0,,,,,,,,,,,,,,DL,Purdue,,,,,,,,,,,,,,,33.0,134.0,76.0,210.0,57.0,0.6875,,,,62.0,Front7
Corey Liuget,,SDG,1,18,2011,Illinois,2008,2010,36.0,,,,,,,,,,,,,,DL,Illinois,,,,,,,,,,,,,,,8.0,57.0,68.0,125.0,25.5,0.2222222222222222,,,,41.0,Front7
Adrian Clayborn,,TAM,1,20,2011,Iowa,2007,2010,50.0,,,,,,,,,,,,,,DL,Iowa,,,,,,,,,,,,,,,19.0,73.0,119.0,192.0,37.5,0.38,,,,12.0,Front7
Phil Taylor,,CLE,1,21,2011,Baylor,2009,2010,25.0,,,,,,,,,,,,,,DL,Baylor,,,,,,,,,,,,,,,2.0,46.0,41.0,87.0,9.5,0.08,,,,19.0,Front7
