Solo,Ast,Comb,TFL,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
109.0,83.0,196.0,23.0,75.0,250.0,4.53,23.0,34.5,119.0,7.09,4.275,22.0,45.0,2000
109.0,83.0,196.0,23.0,76.0,258.0,4.59,27.0,34.0,122.0,6.94,4.18,22.0,119.0,2000
109.0,83.0,196.0,23.0,76.0,252.0,4.55,23.0,34.5,119.0,7.09,4.275,22.0,37.0,2000
109.0,83.0,196.0,23.0,77.0,231.0,4.68,23.0,34.5,119.0,7.09,4.275,22.0,36.0,2000
109.0,83.0,196.0,23.0,74.0,250.0,4.77,18.0,33.0,113.0,6.93,4.17,25.0,24.0,2000
109.0,83.0,196.0,23.0,75.0,244.0,4.47,23.0,38.0,119.0,7.33,4.13,23.0,71.0,2000
109.0,83.0,196.0,23.0,73.0,221.0,4.56,21.0,33.0,115.0,6.97,4.19,22.0,33.0,2000
109.0,83.0,196.0,23.0,75.0,220.0,4.65,23.0,34.5,119.0,7.09,4.275,22.0,19.0,2000
109.0,83.0,196.0,23.0,72.0,233.0,4.56,22.0,36.0,120.0,7.09,4.275,22.0,16.0,2000
109.0,83.0,196.0,23.0,72.0,237.0,4.6,24.0,36.0,117.0,7.08,4.09,23.0,5.0,2000
109.0,83.0,196.0,23.0,72.0,249.0,4.65,24.0,32.0,109.0,7.23,4.3,23.0,31.0,2000
109.0,83.0,196.0,23.0,76.0,259.0,4.7,22.0,35.0,118.0,6.86,4.06,24.0,2.0,2000
109.0,83.0,196.0,23.0,71.0,223.0,4.6,21.0,34.5,119.0,7.09,4.275,23.0,3.0,2000
109.0,83.0,196.0,23.0,72.0,247.0,4.87,24.0,30.0,112.0,7.08,4.26,23.0,14.0,2000
109.0,83.0,196.0,23.0,76.0,231.0,4.66,23.0,34.5,119.0,7.09,4.275,22.0,34.0,2000
109.0,83.0,196.0,23.0,75.0,252.0,4.72,23.0,34.5,119.0,7.09,4.275,23.0,22.0,2000
109.0,83.0,196.0,23.0,74.0,245.0,4.56,11.0,34.5,119.0,7.09,4.275,22.0,2.0,2000
109.0,83.0,196.0,23.0,74.0,237.0,4.78,21.0,31.5,111.0,7.17,4.33,23.0,7.0,2000
109.0,83.0,196.0,23.0,74.0,246.0,4.84,20.0,34.5,115.0,7.21,4.27,23.0,25.0,2000
109.0,83.0,196.0,23.0,75.0,253.0,4.97,20.0,31.5,109.0,7.12,4.21,23.0,31.0,2000
109.0,83.0,196.0,23.0,76.0,243.0,4.65,21.0,34.0,120.0,6.9,4.28,22.0,43.0,2000
109.0,83.0,196.0,23.0,73.0,240.0,4.68,29.0,34.5,119.0,7.09,4.275,22.0,14.0,2000
