Player,Rate,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,qb_Cmp,qb_Att,qb_Inc,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_TD%,qb_Int%,qb_Y/A,qb_AY/A,qb_Y/C,qb_Y/G,Pos,Team,rb_rush_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y/A,rb_rush_TD,rb_rec_Rec,rb_rec_Y/R,rb_rec_TD,rb_rec_Y/G,rec_Y/G,rec_Rec,rec_Yds,rec_Y/R,rec_TD,Sk,Solo,Ast,Comb,TFL,Sk/G,Int,IntTD,PD,dr_av,PosGroup
Tyron Smith,,DAL,1,9,2011,USC,2009,2010,24.0,,,,,,,,,,,,,,OL,USC,,,,,,,,,,,,,,,,,,,,,,,,89.0,OL
Mike Pouncey,,MIA,1,15,2011,Florida,2007,2007,13.0,,,,,,,,,,,,,,OL,Florida,,,,,,,,,,,,,,,,,,,,,,,,40.0,OL
Nate Solder,,NWE,1,17,2011,Colorado,2009,2010,12.0,,,,,,,,,,,,,,OL,Colorado,,,,,,,,,,,,,,,,,,,,,,,,49.0,OL
Anthony Castonzo,,CLT,1,22,2011,Boston College,2007,2009,26.0,,,,,,,,,,,,,,OL,Boston College,,,,,,,,,,,,,,,,,,,,,,,,58.0,OL
Danny Watkins,,PHI,1,23,2011,Baylor,2009,2009,12.0,,,,,,,,,,,,,,OL,Baylor,,,,,,,,,,,,,,,,,,,,,,,,9.0,OL
James Carpenter,,SEA,1,25,2011,Alabama,2009,2009,14.0,,,,,,,,,,,,,,OL,Alabama,,,,,,,,,,,,,,,,,,,,,,,,17.0,OL
Gabe Carimi,,CHI,1,29,2011,Wisconsin,2010,2010,,,,,,,,,,,,,,,OL,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,7.0,OL
Derek Sherrod,,GNB,1,32,2011,Mississippi State,2009,2010,25.0,,,,,,,,,,,,,,OL,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,3.0,OL
Orlando Franklin,,DEN,2,46,2011,Miami (FL),2009,2010,26.0,,,,,,,,,,,,,,OL,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,31.0,OL
Rodney Hudson,,KAN,2,55,2011,Florida State,2009,2010,25.0,,,,,,,,,,,,,,OL,Florida State,,,,,,,,,,,,,,,,,,,,,,,,13.0,OL
