ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
77.0,325.0,5.08,25.0,28.5,104.0,7.75,4.7,23.0,2,2000
77.0,361.0,5.5,24.0,28.5,104.0,7.75,4.7,23.0,2,2000
78.0,315.0,5.39,28.0,28.5,104.0,7.75,4.7,23.0,1,2000
77.0,303.0,5.15,29.0,31.5,100.0,7.77,4.86,22.0,2,2000
77.0,320.0,5.37,24.0,27.5,100.0,7.87,4.83,22.0,2,2000
77.0,334.0,5.05,24.0,30.5,102.0,7.58,4.73,24.0,2,2000
76.0,307.0,4.98,24.0,28.5,104.0,7.75,4.7,23.0,0,2000
76.0,322.0,5.4,25.0,28.0,101.0,8.15,4.97,21.0,2,2000
80.0,326.0,5.22,29.0,27.5,101.0,7.68,4.68,23.0,2,2000
75.0,298.0,5.12,25.0,34.0,110.0,7.46,4.43,23.0,2,2000
76.0,332.0,5.26,28.0,29.0,97.0,7.78,4.72,23.0,0,2000
76.0,330.0,5.46,25.0,31.0,104.0,7.91,4.76,22.0,0,2000
76.0,328.0,5.31,23.0,26.0,97.0,7.72,4.71,23.0,1,2000
76.0,305.0,5.28,16.0,26.0,104.0,7.99,4.73,23.0,0,2000
77.0,297.0,5.16,28.0,31.0,100.0,7.82,4.48,23.0,2,2000
78.0,333.0,5.59,22.0,26.0,95.0,8.15,5.13,22.0,1,2000
75.0,299.0,5.37,20.0,26.5,99.0,7.49,4.88,22.0,0,2000
75.0,320.0,5.62,24.0,25.5,94.0,8.51,5.22,23.0,1,2000
76.0,334.0,5.56,23.0,25.0,94.0,8.48,4.98,23.0,0,2000
76.0,302.0,5.07,17.0,31.5,103.0,7.76,4.58,23.0,0,2000
75.0,318.0,5.37,22.0,27.0,90.0,7.91,4.84,23.0,2,2000
78.0,370.0,5.32,33.0,28.0,97.0,8.72,5.18,23.0,2,2001
77.0,311.0,5.17,24.0,31.5,109.0,7.7,4.6,22.0,2,2001
77.0,315.0,5.15,31.0,33.5,106.0,7.75,4.74,23.0,2,2001
77.0,310.0,5.37,25.0,27.0,99.0,8.27,4.67,23.0,2,2001
77.0,304.0,5.2,24.0,28.5,104.0,7.75,4.7,22.0,2,2001
77.0,311.0,5.29,26.0,28.5,104.0,7.84,4.49,23.0,2,2001
74.0,307.0,5.13,29.0,33.0,108.0,7.55,4.35,22.0,2,2001
76.0,305.0,5.2,25.0,30.5,103.0,8.03,4.71,22.0,1,2001
78.0,328.0,5.33,20.0,33.0,104.0,7.87,4.8,22.0,2,2001
