Player,Rate,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,qb_Cmp,qb_Att,qb_Inc,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_TD%,qb_Int%,qb_Y/A,qb_AY/A,qb_Y/C,qb_Y/G,Pos,Team,rb_rush_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y/A,rb_rush_TD,rb_rec_Rec,rb_rec_Y/R,rb_rec_TD,rb_rec_Y/G,rec_Y/G,rec_Rec,rec_Yds,rec_Y/R,rec_TD,Sk,Solo,Ast,Comb,TFL,Sk/G,Int,IntTD,PD,dr_av,PosGroup
Cam Newton,178.2,CAR,1,1,2011,Auburn,2007,2010,20.0,191.0,292.0,101.0,65.4,2908.0,30.0,7.0,10.3,2.4,10.0,10.93,15.2,145.4,QB,AuburnFlorida,,,,,,,,,,,,,,,,,,,,,,,,107.0,QB
Jake Locker,119.1,OTI,1,8,2011,Washington,2007,2010,40.0,619.0,1147.0,528.0,54.0,7639.0,53.0,35.0,4.6,3.1,6.7,6.21,12.3,191.0,QB,Washington,,,,,,,,,,,,,,,,,,,,,,,,15.0,QB
Blaine Gabbert,132.6,JAX,1,10,2011,Missouri,2008,2010,31.0,568.0,933.0,365.0,60.9,6822.0,40.0,18.0,4.3,1.9,7.3,7.3,12.0,220.1,QB,Missouri,,,,,,,,,,,,,,,,,,,,,,,,7.0,QB
Christian Ponder,132.1,MIN,1,12,2011,Florida State,2007,2010,35.0,596.0,965.0,369.0,61.8,6872.0,49.0,30.0,5.1,3.1,7.1,6.74,11.5,196.3,QB,Florida State,,,,,,,,,,,,,,,,,,,,,,,,22.0,QB
Andy Dalton,140.7,CIN,2,35,2011,Texas Christian,2007,2010,50.0,812.0,1317.0,505.0,61.7,10314.0,71.0,30.0,5.4,2.3,7.8,7.88,12.7,206.3,QB,Texas Christian,,,,,,,,,,,,,,,,,,,,,,,,82.0,QB
Colin Kaepernick,142.5,SFO,2,36,2011,Nevada,2007,2010,51.0,740.0,1271.0,531.0,58.2,10098.0,82.0,24.0,6.5,1.9,7.9,8.39,13.6,198.0,QB,Nevada,,,,,,,,,,,,,,,,,,,,,,,,45.0,QB
Ryan Mallett,150.4,NWE,3,74,2011,Arkansas,2007,2010,37.0,552.0,955.0,403.0,57.8,8385.0,69.0,24.0,7.2,2.5,8.8,9.09,15.2,226.6,QB,ArkansasMichigan,,,,,,,,,,,,,,,,,,,,,,,,0.0,QB
T.J. Yates,131.7,HTX,5,152,2011,North Carolina,2007,2010,45.0,795.0,1277.0,482.0,62.3,9377.0,58.0,46.0,4.5,3.6,7.3,6.63,11.8,208.4,QB,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,6.0,QB
Tyrod Taylor,137.5,RAV,6,180,2011,Virginia Tech,2007,2010,50.0,495.0,865.0,370.0,57.2,7017.0,44.0,20.0,5.1,2.3,8.1,8.09,14.2,140.3,QB,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,1.0,QB
Greg McElroy,155.4,NYJ,7,208,2011,Alabama,2007,2010,35.0,436.0,658.0,222.0,66.3,5691.0,39.0,10.0,5.9,1.5,8.6,9.15,13.1,162.6,QB,Alabama,,,,,,,,,,,,,,,,,,,,,,,,1.0,QB
Andrew Luck,162.8,CLT,1,1,2012,Stanford,2009,2011,38.0,713.0,1064.0,351.0,67.0,9430.0,82.0,22.0,7.7,2.1,8.9,9.47,13.2,248.2,QB,Stanford,,,,,,,,,,,,,,,,,,,,,,,,72.0,QB
Robert Griffin III,158.9,WAS,1,2,2012,Baylor,2008,2011,41.0,800.0,1192.0,392.0,67.1,10366.0,78.0,17.0,6.5,1.4,8.7,9.36,13.0,252.8,QB,Baylor,,,,,,,,,,,,,,,,,,,,,,,,31.0,QB
Ryan Tannehill,134.3,MIA,1,8,2012,Texas A&M,2010,2011,26.0,479.0,765.0,286.0,62.6,5382.0,42.0,21.0,5.5,2.7,7.0,6.9,11.2,207.0,QB,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,47.0,QB
Brandon Weeden,157.6,CLE,1,22,2012,Oklahoma State,2008,2011,30.0,767.0,1103.0,336.0,69.5,9260.0,75.0,27.0,6.8,2.4,8.4,8.65,12.1,308.7,QB,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,10.0,QB
