qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
807.0,1265.0,63.8,10698.0,100.0,30.0,8.5,8.97,297.2,75.0,229.0,4.81,22.0,33.5,111.0,7.12,4.16,24.0,2,2000
1031.0,1679.0,61.4,12541.0,84.0,51.0,7.5,7.1,291.7,75.0,222.0,5.37,22.0,26.5,98.0,7.8,4.78,23.0,1,2000
326.0,588.0,55.4,4592.0,32.0,16.0,7.8,7.67,120.8,74.0,227.0,4.58,22.0,34.5,113.0,7.09,4.28,22.0,0,2000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,-45.0,0.0,75.0,229.0,4.91,22.0,34.0,108.0,7.71,4.59,22.0,0,2000
395.0,638.0,61.9,4773.0,30.0,17.0,7.5,7.22,164.6,76.0,211.0,5.28,22.0,24.5,99.0,7.2,4.38,23.0,2,2000
465.0,872.0,53.3,6564.0,41.0,24.0,7.5,7.23,182.3,75.0,216.0,5.2,22.0,27.5,99.0,7.17,4.41,22.0,0,2000
1015.0,1552.0,65.4,12746.0,115.0,35.0,8.2,8.68,386.2,72.0,215.0,4.91,22.0,25.5,100.0,7.34,4.21,23.0,1,2000
306.0,536.0,57.1,4820.0,34.0,21.0,9.0,8.5,133.9,72.0,226.0,4.68,22.0,32.25,109.0,7.09,4.28,23.0,0,2000
629.0,1020.0,61.7,8882.0,65.0,39.0,8.7,8.26,206.6,70.0,192.0,4.81,22.0,32.25,106.0,7.09,4.28,23.0,0,2000
177.0,313.0,56.5,3074.0,20.0,11.0,9.8,9.52,153.7,72.0,210.0,4.33,22.0,32.25,112.0,7.09,4.28,21.0,2,2001
942.0,1525.0,61.8,10909.0,81.0,41.0,7.2,7.01,266.1,72.0,213.0,4.83,22.0,32.0,105.0,7.09,4.21,22.0,2,2001
483.0,853.0,56.6,6447.0,35.0,25.0,7.6,7.06,222.3,74.0,225.0,4.58,22.0,35.5,113.0,7.12,4.12,23.0,1,2001
418.0,761.0,54.9,5501.0,31.0,28.0,7.2,6.39,131.0,73.0,223.0,4.71,22.0,35.5,115.0,7.36,4.35,22.0,0,2001
650.0,1107.0,58.7,9839.0,79.0,32.0,8.9,9.01,273.3,76.0,226.0,5.2,22.0,32.25,112.0,7.09,4.28,29.0,1,2001
254.0,479.0,53.0,3755.0,31.0,17.0,7.8,7.54,139.1,74.0,231.0,4.78,22.0,35.5,112.0,7.13,4.29,22.0,0,2001
482.0,974.0,49.5,6608.0,41.0,52.0,6.8,5.22,188.8,74.0,207.0,4.57,22.0,37.5,124.0,7.12,4.12,22.0,1,2001
530.0,845.0,62.7,6927.0,61.0,20.0,8.2,8.58,197.9,75.0,223.0,4.67,22.0,35.0,108.0,7.05,4.28,23.0,2,2002
445.0,813.0,54.7,6057.0,52.0,21.0,7.5,7.57,195.4,76.0,215.0,4.89,22.0,32.0,112.0,7.0,4.21,23.0,2,2002
798.0,1355.0,58.9,9205.0,72.0,51.0,6.8,6.16,263.0,74.0,219.0,5.24,22.0,33.5,112.0,7.12,4.09,23.0,1,2002
340.0,664.0,51.2,4022.0,27.0,34.0,6.1,4.57,134.1,76.0,221.0,4.59,22.0,38.5,120.0,6.85,3.9,23.0,1,2002
666.0,1169.0,57.0,9029.0,60.0,39.0,7.7,7.25,205.2,74.0,235.0,4.82,22.0,33.5,111.0,7.35,4.26,24.0,2,2002
286.0,478.0,59.8,4415.0,29.0,15.0,9.2,9.04,176.6,74.0,245.0,4.74,22.0,32.25,112.0,7.09,4.28,24.0,0,2002
