rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
487.0,2677.0,5.5,17.0,39.0,475.0,12.2,4.0,72.0,240.0,4.58,23.0,35.0,120.0,7.005,4.23,21.0,1,2000
809.0,3998.0,4.9,37.0,71.0,571.0,8.0,4.0,70.0,216.0,4.45,19.0,35.0,120.0,7.005,4.23,22.0,0,2000
1115.0,6397.0,5.7,63.0,31.0,304.0,9.8,0.0,71.0,259.0,4.65,19.0,35.0,120.0,7.005,4.23,22.0,0,2000
727.0,3565.0,4.9,41.0,62.0,798.0,12.9,8.0,72.0,218.0,4.58,19.0,35.0,120.0,7.005,4.23,23.0,1,2000
558.0,3626.0,6.5,25.0,42.0,468.0,11.1,1.0,71.0,193.0,4.41,18.0,35.0,120.0,7.005,4.23,23.0,0,2000
1138.0,5596.0,4.9,73.0,54.0,522.0,9.7,5.0,72.0,225.0,4.5,23.0,37.0,115.0,6.92,4.4,23.0,0,2000
595.0,3134.0,5.3,32.0,58.0,674.0,11.6,4.0,71.0,216.0,4.48,19.0,32.5,121.0,7.005,4.23,22.0,0,2000
368.0,1963.0,5.3,18.0,17.0,208.0,12.2,3.0,71.0,215.0,4.66,13.0,30.0,115.0,7.34,4.41,22.0,0,2000
573.0,2778.0,4.8,37.0,62.0,619.0,10.0,4.0,70.0,215.0,4.56,16.0,38.5,128.0,6.84,4.2,23.0,0,2000
88.0,404.0,4.6,3.0,0.0,0.0,9.2,0.0,70.0,214.0,4.41,23.0,41.5,131.0,6.82,3.93,23.0,0,2000
499.0,2599.0,5.2,27.0,54.0,369.0,6.8,0.0,73.0,231.0,4.57,23.0,36.0,117.0,7.005,4.23,23.0,0,2000
483.0,2822.0,5.8,27.0,51.0,590.0,11.6,5.0,71.0,193.0,4.5,19.0,35.0,120.0,7.005,4.23,22.0,0,2000
506.0,2493.0,4.9,24.0,37.0,251.0,6.8,1.0,68.0,182.0,4.5,18.0,36.0,121.0,7.005,4.23,23.0,0,2000
448.0,2292.0,5.1,21.0,13.0,116.0,8.9,0.0,67.0,204.0,4.6,13.0,35.0,111.0,7.14,4.14,22.0,0,2000
453.0,2238.0,4.9,29.0,33.0,302.0,9.2,4.0,72.0,212.0,4.69,19.0,33.0,120.0,6.89,4.15,23.0,0,2000
907.0,5263.0,5.8,54.0,39.0,238.0,6.1,0.0,70.0,221.0,4.46,18.0,40.5,124.0,6.84,4.21,22.0,1,2001
616.0,3060.0,5.0,37.0,63.0,616.0,9.8,2.0,73.0,222.0,4.41,19.0,35.0,120.0,7.005,4.23,22.0,1,2001
350.0,1890.0,5.4,14.0,5.0,52.0,10.4,0.0,69.0,207.0,4.38,13.0,39.5,130.0,7.005,4.23,23.0,1,2001
846.0,4098.0,4.8,49.0,78.0,750.0,9.6,1.0,74.0,229.0,4.58,20.0,32.5,115.0,7.48,4.44,23.0,1,2001
807.0,4147.0,5.1,36.0,76.0,737.0,9.7,1.0,70.0,234.0,4.57,24.0,35.0,120.0,7.005,4.23,22.0,0,2001
556.0,3078.0,5.5,26.0,20.0,99.0,5.0,0.0,69.0,223.0,4.61,23.0,35.0,120.0,7.005,4.23,22.0,1,2001
541.0,2950.0,5.5,31.0,38.0,278.0,7.3,3.0,70.0,210.0,4.55,19.0,35.0,120.0,7.005,4.23,25.0,0,2001
486.0,2324.0,4.8,20.0,36.0,508.0,14.1,4.0,73.0,235.0,4.56,19.0,35.0,120.0,7.005,4.23,22.0,1,2001
664.0,3218.0,4.8,28.0,106.0,831.0,7.8,3.0,70.0,197.0,4.44,9.0,32.0,115.0,7.005,4.23,22.0,0,2001
324.0,1567.0,4.8,13.0,9.0,70.0,7.8,0.0,70.0,227.0,4.57,24.0,37.5,119.0,7.32,4.22,21.0,1,2001
413.0,2522.0,6.1,27.0,24.0,200.0,8.3,1.0,72.0,226.0,4.53,11.0,40.0,123.0,7.08,4.06,22.0,1,2001
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,70.0,194.0,4.36,18.0,35.5,119.0,7.05,4.09,22.0,0,2001
266.0,1206.0,4.5,9.0,9.0,89.0,9.9,0.0,72.0,193.0,4.42,8.0,35.0,120.0,6.96,4.07,22.0,0,2001
501.0,2974.0,5.9,33.0,31.0,343.0,11.1,3.0,72.0,221.0,4.6,27.0,42.0,121.0,7.005,4.23,22.0,0,2002
580.0,3118.0,5.4,27.0,21.0,142.0,6.8,1.0,72.0,254.0,4.45,19.0,35.0,120.0,7.005,4.23,21.0,1,2002
686.0,3049.0,4.4,39.0,57.0,535.0,9.4,4.0,73.0,222.0,4.57,20.0,35.5,119.0,6.82,4.16,22.0,1,2002
440.0,2523.0,5.7,20.0,21.0,272.0,13.0,3.0,71.0,204.0,4.42,19.0,35.0,120.0,7.005,4.23,21.0,1,2002
429.0,2066.0,4.8,16.0,30.0,203.0,6.8,2.0,71.0,208.0,4.53,23.0,38.5,119.0,7.005,4.23,22.0,1,2002
830.0,3682.0,4.4,25.0,71.0,692.0,9.7,2.0,70.0,220.0,4.62,23.0,38.0,116.0,7.06,4.06,23.0,1,2002
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,73.0,214.0,4.55,16.0,34.0,119.0,7.005,4.23,22.0,0,2002
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,68.0,200.0,4.57,26.0,37.0,118.0,7.09,4.23,23.0,1,2002
439.0,2262.0,5.2,26.0,24.0,229.0,9.5,0.0,73.0,243.0,4.52,19.0,35.0,120.0,7.005,4.23,23.0,0,2002
488.0,2336.0,4.8,21.0,27.0,200.0,7.4,1.0,68.0,194.0,4.6,15.0,32.0,121.0,7.005,4.23,24.0,0,2002
409.0,1981.0,4.8,31.0,13.0,81.0,6.2,0.0,71.0,218.0,4.42,21.0,40.5,124.0,6.96,3.93,22.0,0,2002
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,70.0,214.0,4.68,14.0,34.0,119.0,7.59,4.6,23.0,0,2002
482.0,2117.0,4.4,13.0,23.0,226.0,9.8,0.0,69.0,209.0,4.46,19.0,33.0,112.0,6.9,4.08,22.0,0,2002
803.0,4646.0,5.8,55.0,61.0,554.0,9.1,5.0,71.0,213.0,4.58,22.0,33.0,114.0,7.005,4.23,22.0,0,2002
519.0,3089.0,6.0,29.0,54.0,429.0,7.9,3.0,73.0,206.0,4.57,26.0,35.0,113.0,7.11,4.29,24.0,0,2002
112.0,570.0,5.1,7.0,20.0,186.0,9.3,0.0,68.0,237.0,4.47,30.0,35.0,116.0,7.18,4.25,22.0,0,2002
349.0,2067.0,5.9,31.0,28.0,348.0,12.4,0.0,72.0,223.0,4.45,19.0,35.0,120.0,7.005,4.23,21.0,1,2003
460.0,2953.0,6.4,26.0,65.0,681.0,10.5,7.0,73.0,228.0,4.45,19.0,35.0,120.0,7.005,4.23,23.0,1,2003
454.0,2202.0,4.9,19.0,27.0,187.0,6.9,0.0,73.0,232.0,4.45,19.0,35.5,123.0,7.005,4.23,21.0,0,2003
334.0,1509.0,4.5,17.0,78.0,728.0,9.3,4.0,74.0,241.0,4.6,19.0,35.0,120.0,7.005,4.23,23.0,0,2003
493.0,2787.0,5.7,35.0,11.0,76.0,6.9,0.0,75.0,220.0,4.46,19.0,35.0,120.0,7.005,4.23,22.0,1,2003
256.0,1077.0,4.2,8.0,9.0,106.0,11.8,0.0,73.0,219.0,4.35,27.0,35.0,137.0,7.005,4.23,23.0,1,2003
438.0,2105.0,4.8,17.0,58.0,407.0,7.0,2.0,70.0,229.0,4.68,19.0,35.0,120.0,7.005,4.23,25.0,0,2003
455.0,2056.0,4.5,20.0,41.0,393.0,9.6,1.0,69.0,213.0,4.63,22.0,32.5,112.0,7.32,4.47,22.0,1,2003
436.0,2337.0,5.4,23.0,23.0,166.0,7.2,2.0,70.0,220.0,4.48,19.0,35.0,120.0,7.005,4.23,22.0,0,2003
702.0,3756.0,5.4,43.0,146.0,1217.0,8.3,6.0,67.0,195.0,4.48,21.0,38.0,123.0,7.005,4.08,22.0,0,2003
535.0,2767.0,5.2,53.0,15.0,171.0,11.4,3.0,72.0,202.0,4.44,19.0,35.0,120.0,7.005,4.23,23.0,0,2003
511.0,2149.0,4.2,26.0,25.0,233.0,9.3,1.0,71.0,233.0,4.6,19.0,35.0,120.0,7.005,4.23,22.0,0,2003
216.0,939.0,4.3,8.0,76.0,676.0,8.9,7.0,70.0,233.0,4.67,19.0,35.0,120.0,7.005,4.23,24.0,0,2003
743.0,3625.0,4.9,39.0,66.0,680.0,10.3,6.0,73.0,241.0,4.55,19.0,35.0,120.0,7.005,4.23,21.0,1,2004
794.0,3657.0,4.6,39.0,64.0,569.0,8.9,2.0,72.0,224.0,4.56,19.0,35.0,120.0,7.005,4.23,22.0,0,2004
616.0,3475.0,5.6,35.0,24.0,229.0,9.5,0.0,72.0,227.0,4.38,19.0,38.0,120.0,7.005,4.23,22.0,1,2004
634.0,3409.0,5.4,34.0,36.0,258.0,7.2,2.0,71.0,212.0,4.37,25.0,38.5,117.0,7.005,4.23,23.0,1,2004
634.0,3018.0,4.8,26.0,28.0,250.0,8.9,1.0,70.0,217.0,4.47,19.0,37.5,121.0,6.97,4.12,23.0,1,2004
480.0,2535.0,5.3,23.0,24.0,153.0,6.4,0.0,73.0,249.0,4.55,19.0,35.0,120.0,7.005,4.23,23.0,0,2004
735.0,3474.0,4.7,19.0,156.0,1709.0,11.0,14.0,71.0,209.0,4.65,19.0,35.0,118.0,7.05,4.12,22.0,0,2004
589.0,3018.0,5.1,26.0,26.0,138.0,5.3,1.0,72.0,223.0,4.75,19.0,40.0,123.0,7.005,4.23,23.0,0,2004
940.0,4941.0,5.3,43.0,43.0,451.0,10.5,3.0,70.0,237.0,4.49,22.0,31.0,114.0,7.5,4.15,22.0,0,2004
306.0,1434.0,4.7,16.0,33.0,264.0,8.0,2.0,71.0,226.0,4.58,15.0,35.0,120.0,7.005,4.23,23.0,0,2004
513.0,2707.0,5.3,28.0,58.0,668.0,11.5,2.0,72.0,233.0,4.43,18.0,34.0,117.0,7.1,4.08,23.0,1,2005
1112.0,5540.0,5.0,64.0,69.0,621.0,9.0,3.0,70.0,222.0,4.62,19.0,35.0,120.0,7.005,4.23,22.0,0,2005
741.0,3831.0,5.2,45.0,45.0,342.0,7.6,1.0,71.0,217.0,4.43,19.0,35.5,118.0,6.94,4.15,23.0,1,2005
396.0,2625.0,6.6,20.0,42.0,299.0,7.1,3.0,69.0,214.0,4.4,18.0,35.0,121.0,6.81,4.1,22.0,0,2005
341.0,1858.0,5.4,30.0,7.0,54.0,7.7,0.0,73.0,246.0,4.53,19.0,38.5,124.0,7.44,4.08,22.0,0,2005
348.0,1975.0,5.7,17.0,23.0,225.0,9.8,0.0,69.0,217.0,4.58,19.0,35.0,120.0,7.005,4.23,22.0,1,2005
451.0,2661.0,5.9,23.0,11.0,119.0,10.8,1.0,70.0,212.0,4.66,19.0,33.5,108.0,7.02,4.12,25.0,0,2005
499.0,3112.0,6.2,28.0,48.0,441.0,9.2,2.0,68.0,210.0,4.46,19.0,36.0,117.0,7.22,4.1,22.0,0,2005
575.0,3276.0,5.7,35.0,21.0,190.0,9.0,0.0,71.0,221.0,4.49,20.0,40.0,127.0,7.005,4.23,22.0,1,2005
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,76.0,267.0,4.56,19.0,37.0,118.0,7.53,4.46,23.0,1,2005
315.0,1877.0,6.0,14.0,46.0,408.0,8.9,5.0,73.0,207.0,4.58,19.0,35.0,120.0,7.005,4.23,22.0,0,2005
500.0,2394.0,4.8,19.0,138.0,1396.0,10.1,8.0,69.0,208.0,4.63,24.0,34.0,114.0,7.06,4.08,23.0,0,2005
815.0,4979.0,6.1,45.0,66.0,609.0,9.2,2.0,66.0,187.0,4.47,23.0,33.0,105.0,6.96,3.96,22.0,1,2005
501.0,2634.0,5.3,17.0,39.0,369.0,9.5,1.0,71.0,225.0,4.61,19.0,35.0,120.0,7.005,4.23,23.0,0,2005
134.0,900.0,6.7,4.0,15.0,89.0,5.9,0.0,70.0,196.0,4.49,17.0,34.0,118.0,7.13,4.25,24.0,0,2005
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,71.0,250.0,4.59,25.0,30.0,108.0,7.54,4.28,22.0,0,2005
462.0,2524.0,5.5,26.0,72.0,781.0,10.8,2.0,71.0,224.0,4.6,17.0,31.0,108.0,6.95,3.97,23.0,0,2005
433.0,3169.0,7.3,25.0,95.0,1301.0,13.7,13.0,71.0,201.0,4.37,19.0,35.0,120.0,7.005,4.23,21.0,1,2006
660.0,3933.0,6.0,32.0,21.0,197.0,9.4,1.0,72.0,217.0,4.48,19.0,35.0,120.0,7.005,4.23,21.0,1,2006
969.0,6026.0,6.2,55.0,70.0,723.0,10.3,5.0,69.0,214.0,4.45,25.0,35.5,121.0,7.005,4.23,23.0,1,2006
490.0,2576.0,5.3,18.0,66.0,641.0,9.7,6.0,71.0,214.0,4.4,18.0,38.5,125.0,7.09,4.47,23.0,1,2006
541.0,3159.0,5.8,52.0,31.0,331.0,10.7,5.0,72.0,238.0,4.49,19.0,35.0,120.0,7.005,4.23,21.0,0,2006
481.0,2503.0,5.2,26.0,64.0,819.0,12.8,7.0,67.0,207.0,4.39,18.0,36.0,116.0,7.08,4.38,21.0,1,2006
619.0,2760.0,4.5,27.0,90.0,909.0,10.1,4.0,69.0,201.0,4.57,18.0,31.5,124.0,7.05,4.2,22.0,0,2006
573.0,3222.0,5.6,15.0,43.0,186.0,4.3,2.0,72.0,210.0,4.4,15.0,36.5,122.0,6.81,4.25,23.0,1,2006
369.0,2041.0,5.5,12.0,55.0,481.0,8.7,1.0,68.0,201.0,4.42,17.0,32.5,105.0,6.94,4.37,24.0,1,2006
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,69.0,202.0,4.67,19.0,35.0,114.0,7.03,4.38,23.0,0,2006
482.0,2800.0,5.8,25.0,34.0,275.0,8.1,1.0,69.0,201.0,4.47,19.0,34.5,124.0,6.77,4.07,23.0,0,2006
742.0,3193.0,4.3,43.0,114.0,895.0,7.9,9.0,71.0,214.0,4.48,18.0,35.0,111.0,6.99,4.36,22.0,0,2006
