rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,207.0,3517.0,17.0,32.0,65.1,71.0,194.0,4.58,18.0,35.0,120.0,7.0,4.245,23.0,25.0,2000
487.0,2677.0,5.5,17.0,39.0,475.0,12.2,4.0,122.0,1807.0,14.4,14.5,46.2,72.0,240.0,4.58,23.0,35.0,120.0,7.0,4.245,21.0,53.0,2000
809.0,3998.0,4.9,37.0,71.0,571.0,8.0,4.0,122.0,1807.0,14.4,14.5,46.2,70.0,216.0,4.45,18.0,35.0,120.0,7.0,4.245,22.0,7.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,118.0,1970.0,16.7,17.0,85.7,77.0,231.0,4.59,18.0,33.0,115.0,7.0,4.245,23.0,34.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,72.0,1150.0,16.0,15.0,42.6,73.0,199.0,4.43,18.0,37.0,118.0,7.15,4.245,22.0,23.0,2000
1115.0,6397.0,5.7,63.0,31.0,304.0,9.8,0.0,122.0,1807.0,14.4,14.5,46.2,71.0,259.0,4.65,18.0,35.0,120.0,7.0,4.245,22.0,10.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,77.0,1038.0,13.5,12.0,30.5,78.0,265.0,4.85,18.0,35.0,120.0,7.0,4.245,22.0,19.0,2000
727.0,3565.0,4.9,41.0,62.0,798.0,12.9,8.0,122.0,1807.0,14.4,14.5,46.2,72.0,218.0,4.58,18.0,35.0,120.0,7.0,4.245,23.0,68.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,77.0,1091.0,14.2,11.0,28.7,78.0,270.0,4.78,18.0,33.5,123.0,6.94,4.08,23.0,10.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,155.0,2608.0,16.8,23.0,58.0,69.0,177.0,4.34,18.0,35.0,124.0,7.0,4.245,22.0,2.0,2000
558.0,3626.0,6.5,25.0,42.0,468.0,11.1,1.0,122.0,1807.0,14.4,14.5,46.2,71.0,193.0,4.41,18.0,35.0,120.0,7.0,4.245,23.0,6.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,217.0,3186.0,14.7,24.0,69.3,70.0,175.0,4.43,18.0,37.5,123.0,6.96,4.04,22.0,28.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,149.0,2366.0,15.9,22.0,53.8,74.0,169.0,4.45,18.0,35.0,120.0,7.0,4.245,23.0,25.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,24.0,467.0,19.5,5.0,23.4,74.0,221.0,4.48,18.0,35.0,120.0,7.0,4.245,22.0,32.0,2000
1138.0,5596.0,4.9,73.0,54.0,522.0,9.7,5.0,122.0,1807.0,14.4,14.5,46.2,72.0,225.0,4.5,23.0,37.0,115.0,6.92,4.4,23.0,4.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,105.0,1520.0,14.5,7.0,33.0,73.0,206.0,4.58,18.0,35.0,117.0,7.0,4.245,23.0,6.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,39.0,507.0,13.0,5.0,11.5,78.0,272.0,4.9,18.0,35.0,120.0,7.0,4.245,23.0,15.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,90.0,1833.0,20.4,14.0,57.3,73.0,218.0,4.62,18.0,37.5,124.0,6.91,4.09,21.0,14.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,85.0,1363.0,16.0,8.0,37.9,72.0,191.0,4.37,18.0,37.5,125.0,6.76,4.09,22.0,1.0,2000
595.0,3134.0,5.3,32.0,58.0,674.0,11.6,4.0,122.0,1807.0,14.4,14.5,46.2,71.0,216.0,4.48,18.0,32.5,121.0,7.0,4.245,22.0,6.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,52.0,960.0,18.5,5.0,36.9,71.0,192.0,4.41,18.0,34.0,115.0,6.89,4.39,22.0,49.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,234.0,3048.0,13.0,31.0,76.2,73.0,199.0,4.55,18.0,34.0,117.0,6.96,4.16,22.0,3.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,97.0,1501.0,15.5,14.0,46.9,72.0,197.0,4.56,18.0,35.0,120.0,7.0,4.245,21.0,51.0,2000
368.0,1963.0,5.3,18.0,17.0,208.0,12.2,3.0,122.0,1807.0,14.4,14.5,46.2,71.0,215.0,4.66,13.0,30.0,115.0,7.34,4.41,22.0,1.0,2000
573.0,2778.0,4.8,37.0,62.0,619.0,10.0,4.0,122.0,1807.0,14.4,14.5,46.2,70.0,215.0,4.56,16.0,38.5,128.0,6.84,4.2,23.0,3.0,2000
88.0,404.0,4.6,3.0,0.0,0.0,9.2,0.0,122.0,1807.0,14.4,14.5,46.2,70.0,214.0,4.41,23.0,41.5,131.0,6.82,3.93,23.0,0.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,128.0,1971.0,15.4,16.0,45.8,72.0,194.0,4.59,18.0,33.5,119.0,7.0,4.245,22.0,0.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,128.0,2131.0,16.6,20.0,56.1,75.0,199.0,4.56,18.0,37.5,121.0,7.03,4.29,22.0,3.0,2000
499.0,2599.0,5.2,27.0,54.0,369.0,6.8,0.0,122.0,1807.0,14.4,14.5,46.2,73.0,231.0,4.57,23.0,36.0,117.0,7.0,4.245,23.0,1.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,176.0,2443.0,13.9,15.0,54.3,71.0,204.0,4.5,18.0,35.0,120.0,7.33,4.18,23.0,1.0,2000
483.0,2822.0,5.8,27.0,51.0,590.0,11.6,5.0,122.0,1807.0,14.4,14.5,46.2,71.0,193.0,4.5,18.0,35.0,120.0,7.0,4.245,22.0,4.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,25.0,348.0,13.9,1.0,10.5,76.0,254.0,4.66,18.0,32.5,121.0,6.97,4.18,22.0,0.0,2000
