rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
77.0,1038.0,13.5,12.0,30.5,78.0,265.0,4.85,21.0,33.5,117.0,7.1,4.32,22.0,19.0,2000
77.0,1091.0,14.2,11.0,28.7,78.0,270.0,4.78,21.0,33.5,123.0,6.94,4.08,23.0,10.0,2000
39.0,507.0,13.0,5.0,11.5,78.0,272.0,4.9,21.0,33.5,117.0,7.1,4.32,23.0,15.0,2000
25.0,348.0,13.9,1.0,10.5,76.0,254.0,4.66,21.0,32.5,121.0,6.97,4.18,22.0,0.0,2000
59.0,645.0,10.9,2.0,14.7,75.0,255.0,4.75,31.0,33.5,117.0,7.1,4.32,22.0,0.0,2000
107.0,1619.0,15.1,10.0,49.1,77.0,252.0,4.68,21.0,33.5,117.0,7.1,4.32,21.0,42.0,2001
68.0,760.0,11.2,5.0,18.1,74.0,266.0,4.76,22.0,34.0,112.0,7.38,4.43,23.0,38.0,2001
56.0,580.0,10.4,5.0,18.7,76.0,255.0,4.73,14.0,36.0,117.0,7.37,4.18,23.0,0.0,2001
18.0,227.0,12.6,1.0,7.6,77.0,256.0,4.85,20.0,34.0,113.0,7.14,4.15,23.0,3.0,2001
40.0,544.0,13.6,3.0,12.4,74.0,275.0,4.99,21.0,30.0,106.0,7.49,4.26,21.0,6.0,2001
54.0,544.0,10.1,5.0,12.4,76.0,255.0,4.76,22.0,33.0,106.0,7.12,4.19,22.0,0.0,2001
59.0,861.0,14.6,3.0,19.1,77.0,256.0,4.96,21.0,35.5,109.0,7.3,4.4,22.0,0.0,2001
32.0,383.0,12.0,4.0,9.3,76.0,252.0,5.02,16.0,32.0,113.0,7.4,4.31,24.0,0.0,2001
61.0,815.0,13.4,10.0,38.8,77.0,255.0,4.64,21.0,33.5,117.0,7.1,4.32,22.0,35.0,2002
106.0,1543.0,14.6,11.0,36.7,75.0,248.0,4.64,21.0,36.0,118.0,7.1,4.32,23.0,13.0,2002
74.0,953.0,12.9,8.0,35.3,79.0,265.0,4.77,21.0,33.5,117.0,7.1,4.32,22.0,13.0,2002
52.0,768.0,14.8,11.0,23.3,76.0,251.0,4.6,18.0,38.0,117.0,6.9,4.18,23.0,9.0,2002
