rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
207.0,3517.0,17.0,32.0,65.1,71.0,194.0,4.58,15.0,36.0,122.0,6.93,4.2,23.0,1,2000
118.0,1970.0,16.7,17.0,85.7,77.0,231.0,4.59,15.0,33.0,115.0,6.93,4.2,23.0,1,2000
72.0,1150.0,16.0,15.0,42.6,73.0,199.0,4.43,15.0,37.0,118.0,7.15,4.2,22.0,1,2000
147.0,2224.5,14.9,17.0,57.4,75.0,216.0,4.6,15.0,34.5,119.0,7.06,4.17,22.0,0,2000
155.0,2608.0,16.8,23.0,58.0,69.0,177.0,4.34,15.0,35.0,124.0,6.93,4.2,22.0,0,2000
217.0,3186.0,14.7,24.0,69.3,70.0,175.0,4.43,15.0,37.5,123.0,6.96,4.04,22.0,1,2000
149.0,2366.0,15.9,22.0,53.8,74.0,169.0,4.45,15.0,36.0,122.0,6.93,4.2,23.0,1,2000
24.0,467.0,19.5,5.0,23.4,74.0,221.0,4.48,15.0,36.0,122.0,6.93,4.2,22.0,1,2000
105.0,1520.0,14.5,7.0,33.0,73.0,206.0,4.58,15.0,36.0,117.0,6.93,4.2,23.0,0,2000
90.0,1833.0,20.4,14.0,57.3,73.0,218.0,4.62,15.0,37.5,124.0,6.91,4.09,21.0,1,2000
85.0,1363.0,16.0,8.0,37.9,72.0,191.0,4.37,15.0,37.5,125.0,6.76,4.09,22.0,0,2000
52.0,960.0,18.5,5.0,36.9,71.0,192.0,4.41,15.0,34.0,115.0,6.89,4.39,22.0,1,2000
234.0,3048.0,13.0,31.0,76.2,73.0,199.0,4.55,15.0,34.0,117.0,6.96,4.16,22.0,0,2000
97.0,1501.0,15.5,14.0,46.9,72.0,197.0,4.56,15.0,36.0,122.0,6.93,4.2,21.0,1,2000
128.0,1971.0,15.4,16.0,45.8,72.0,194.0,4.59,15.0,33.5,119.0,6.93,4.2,22.0,0,2000
128.0,2131.0,16.6,20.0,56.1,75.0,199.0,4.56,15.0,37.5,121.0,7.03,4.29,22.0,0,2000
176.0,2443.0,13.9,15.0,54.3,71.0,204.0,4.5,15.0,36.0,122.0,7.33,4.18,23.0,0,2000
244.0,3986.0,16.3,26.0,94.9,66.0,171.0,4.55,15.0,32.5,106.0,6.61,3.84,23.0,0,2000
147.0,2224.5,14.9,17.0,57.4,74.0,205.0,4.66,15.0,39.5,129.0,6.93,4.13,22.0,0,2000
