pick,stuart,johnson,hill,otc,pff,dr_av
1,34.6,3000,1000.0,3000,1.135,107.0
1,34.6,3000,1000.0,3000,1.135,72.0
1,34.6,3000,1000.0,3000,1.135,56.0
1,34.6,3000,1000.0,3000,1.135,38.0
1,34.6,3000,1000.0,3000,1.135,54.0
1,34.6,3000,1000.0,3000,1.135,44.0
1,34.6,3000,1000.0,3000,1.135,104.0
1,34.6,3000,1000.0,3000,1.135,35.0
1,34.6,3000,1000.0,3000,1.135,71.0
1,34.6,3000,1000.0,3000,1.135,63.0
2,30.2,2600,717.17,2635,1.099,97.0
2,30.2,2600,717.17,2635,1.099,31.0
2,30.2,2600,717.17,2635,1.099,16.0
2,30.2,2600,717.17,2635,1.099,13.0
2,30.2,2600,717.17,2635,1.099,43.0
2,30.2,2600,717.17,2635,1.099,43.0
2,30.2,2600,717.17,2635,1.099,34.0
2,30.2,2600,717.17,2635,1.099,40.0
2,30.2,2600,717.17,2635,1.099,58.0
2,30.2,2600,717.17,2635,1.099,20.0
3,27.6,2200,514.33,2421,1.063,47.0
3,27.6,2200,514.33,2421,1.063,7.0
3,27.6,2200,514.33,2421,1.063,3.0
3,27.6,2200,514.33,2421,1.063,44.0
3,27.6,2200,514.33,2421,1.063,5.0
3,27.6,2200,514.33,2421,1.063,56.0
3,27.6,2200,514.33,2421,1.063,15.0
3,27.6,2200,514.33,2421,1.063,14.0
3,27.6,2200,514.33,2421,1.063,54.0
3,27.6,2200,514.33,2421,1.063,7.0
4,25.8,1800,490.52,2270,1.027,71.0
4,25.8,1800,490.52,2270,1.027,29.0
4,25.8,1800,490.52,2270,1.027,89.0
4,25.8,1800,490.52,2270,1.027,20.0
4,25.8,1800,490.52,2270,1.027,22.0
4,25.8,1800,490.52,2270,1.027,65.0
4,25.8,1800,490.52,2270,1.027,19.0
4,25.8,1800,490.52,2270,1.027,49.0
4,25.8,1800,490.52,2270,1.027,12.0
4,25.8,1800,490.52,2270,1.027,33.0
5,24.3,1700,467.81,2152,0.991,95.0
5,24.3,1700,467.81,2152,0.991,9.0
5,24.3,1700,467.81,2152,0.991,37.0
5,24.3,1700,467.81,2152,0.991,41.0
5,24.3,1700,467.81,2152,0.991,45.0
5,24.3,1700,467.81,2152,0.991,28.0
5,24.3,1700,467.81,2152,0.991,24.0
5,24.3,1700,467.81,2152,0.991,25.0
5,24.3,1700,467.81,2152,0.991,45.0
5,24.3,1700,467.81,2152,0.991,52.0
6,23.2,1600,446.15,2056,0.955,97.0
6,23.2,1600,446.15,2056,0.955,13.0
6,23.2,1600,446.15,2056,0.955,10.0
6,23.2,1600,446.15,2056,0.955,75.0
6,23.2,1600,446.15,2056,0.955,26.0
6,23.2,1600,446.15,2056,0.955,64.0
6,23.2,1600,446.15,2056,0.955,29.0
6,23.2,1600,446.15,2056,0.955,79.0
6,23.2,1600,446.15,2056,0.955,40.0
6,23.2,1600,446.15,2056,0.955,74.0
7,22.2,1500,425.5,1975,0.919,24.0
7,22.2,1500,425.5,1975,0.919,11.0
7,22.2,1500,425.5,1975,0.919,7.0
7,22.2,1500,425.5,1975,0.919,80.0
7,22.2,1500,425.5,1975,0.919,2.0
7,22.2,1500,425.5,1975,0.919,34.0
7,22.2,1500,425.5,1975,0.919,37.0
7,22.2,1500,425.5,1975,0.919,111.0
7,22.2,1500,425.5,1975,0.919,45.0
7,22.2,1500,425.5,1975,0.919,35.0
8,21.4,1400,405.8,1905,0.883,15.0
8,21.4,1400,405.8,1905,0.883,47.0
8,21.4,1400,405.8,1905,0.883,22.0
8,21.4,1400,405.8,1905,0.883,3.0
8,21.4,1400,405.8,1905,0.883,32.0
8,21.4,1400,405.8,1905,0.883,30.0
8,21.4,1400,405.8,1905,0.883,43.0
8,21.4,1400,405.8,1905,0.883,37.0
8,21.4,1400,405.8,1905,0.883,16.0
8,21.4,1400,405.8,1905,0.883,17.0
9,20.6,1350,387.01,1843,0.847,89.0
9,20.6,1350,387.01,1843,0.847,91.0
9,20.6,1350,387.01,1843,0.847,6.0
9,20.6,1350,387.01,1843,0.847,52.0
9,20.6,1350,387.01,1843,0.847,18.0
9,20.6,1350,387.01,1843,0.847,21.0
9,20.6,1350,387.01,1843,0.847,5.0
9,20.6,1350,387.01,1843,0.847,31.0
9,20.6,1350,387.01,1843,0.847,43.0
9,20.6,1350,387.01,1843,0.847,4.0
10,19.9,1300,369.09,1787,0.811,7.0
10,19.9,1300,369.09,1787,0.811,18.0
10,19.9,1300,369.09,1787,0.811,20.0
10,19.9,1300,369.09,1787,0.811,15.0
10,19.9,1300,369.09,1787,0.811,50.0
10,19.9,1300,369.09,1787,0.811,9.0
10,19.9,1300,369.09,1787,0.811,115.0
10,19.9,1300,369.09,1787,0.811,2.0
10,19.9,1300,369.09,1787,0.811,21.0
10,19.9,1300,369.09,1787,0.811,24.0
11,19.3,1250,357.62,1737,0.777,105.0
11,19.3,1250,357.62,1737,0.777,41.0
11,19.3,1250,357.62,1737,0.777,29.0
11,19.3,1250,357.62,1737,0.777,48.0
11,19.3,1250,357.62,1737,0.777,18.0
11,19.3,1250,357.62,1737,0.777,10.0
11,19.3,1250,357.62,1737,0.777,41.0
11,19.3,1250,357.62,1737,0.777,7.0
11,19.3,1250,357.62,1737,0.777,31.0
11,19.3,1250,357.62,1737,0.777,8.0
12,18.8,1200,346.51,1691,0.742,22.0
12,18.8,1200,346.51,1691,0.742,95.0
12,18.8,1200,346.51,1691,0.742,8.0
12,18.8,1200,346.51,1691,0.742,41.0
12,18.8,1200,346.51,1691,0.742,15.0
12,18.8,1200,346.51,1691,0.742,15.0
12,18.8,1200,346.51,1691,0.742,52.0
12,18.8,1200,346.51,1691,0.742,51.0
12,18.8,1200,346.51,1691,0.742,36.0
12,18.8,1200,346.51,1691,0.742,8.0
