iter	Logloss
0	0.6756118564
1	0.6588519187
2	0.6466388443
3	0.6337294916
4	0.6212805052
5	0.6140462098
6	0.605850553
7	0.6007160829
8	0.5948892156
9	0.5879477051
10	0.582193112
11	0.5760786387
12	0.5694713526
13	0.5667586976
14	0.5590834415
15	0.5526428094
16	0.5486827331
17	0.543789802
18	0.5386747054
19	0.5329655828
20	0.5299641544
21	0.5260995893
22	0.5233167836
23	0.519507837
24	0.5149065622
25	0.5138488336
26	0.5106133681
27	0.5079421459
28	0.5036560949
29	0.5004223705
30	0.4955403615
31	0.4919615026
32	0.4861979939
33	0.4831935946
34	0.4779934666
35	0.4753974984
36	0.4708734824
37	0.4624587899
38	0.459969245
39	0.4577887751
40	0.4531099169
41	0.4487235698
42	0.4427887315
43	0.4391798033
44	0.4349873861
45	0.4326390576
46	0.430121478
47	0.4281272583
48	0.4252056369
49	0.4238451299
50	0.4215312538
51	0.4182216967
52	0.4157510492
53	0.4134129791
54	0.407187753
55	0.4030236333
56	0.4000265609
57	0.3981223529
58	0.3961658658
59	0.3911195173
60	0.3892246044
61	0.3847318296
62	0.3828376787
63	0.3795482531
64	0.3767664216
65	0.3747658853
66	0.3732163697
67	0.3721999018
68	0.3691890909
69	0.3649615853
70	0.3628884439
71	0.3622263312
72	0.3594366075
73	0.3572130402
74	0.354152535
75	0.3521129299
76	0.348785391
77	0.3468430891
78	0.3439252964
79	0.3417143289
80	0.3375284344
81	0.3348727004
82	0.3316723858
83	0.3282978182
84	0.324315064
85	0.3218713763
86	0.3187998866
87	0.3172046399
88	0.3137493787
89	0.3113314794
90	0.3101078142
91	0.3077836608
92	0.3073365911
93	0.3049400431
94	0.3006223657
95	0.2985922414
96	0.2959039673
97	0.2930919124
98	0.2902303375
99	0.2900070367
100	0.2866321787
101	0.2818510973
102	0.2798521348
103	0.2773771431
104	0.2759732075
105	0.2748473504
106	0.2744618031
107	0.2707864788
108	0.2682774506
109	0.2675656831
110	0.2654662991
111	0.2623435598
112	0.2585439253
113	0.2554732787
114	0.2553119831
115	0.2540875258
116	0.2511438407
117	0.2490251523
118	0.2466102586
119	0.2458756279
120	0.2444715099
121	0.242842874
122	0.2413652285
123	0.2389433716
124	0.2386930261
125	0.2367858536
126	0.2353943293
127	0.2337232041
128	0.2334742307
129	0.2317877355
130	0.2293543477
131	0.2269608993
132	0.2249711999
133	0.2224696064
134	0.2203338944
135	0.2194553275
136	0.2169989551
137	0.2159694377
138	0.2145401145
139	0.213403205
140	0.2113577759
141	0.20870168
142	0.2083663145
143	0.2066317866
144	0.2054493557
145	0.2053129633
146	0.2041221241
147	0.2032104997
148	0.2021803319
149	0.2001676951
150	0.197464719
151	0.1962705399
152	0.1960881217
153	0.1947677588
154	0.1944325968
155	0.1932765028
156	0.1922264505
157	0.1914384912
158	0.1905245568
159	0.1888596398
160	0.1871248427
161	0.1860049353
162	0.1839083536
163	0.1824160479
164	0.1809253561
165	0.1805278472
166	0.1789671277
167	0.1779222932
168	0.1774830502
169	0.175426641
170	0.174864234
171	0.1733803241
172	0.1722952318
173	0.1709306201
174	0.1690553461
175	0.168250957
176	0.1674266169
177	0.1664016335
178	0.1650076074
179	0.1642823053
180	0.1623680239
181	0.1611780092
182	0.1594925733
183	0.1587695969
184	0.1582201884
185	0.1576554983
186	0.1563974971
187	0.1539607275
188	0.1534376862
189	0.1528209047
190	0.1519963411
191	0.1519363942
192	0.150220829
193	0.15017003
194	0.149051201
195	0.1488096303
196	0.148703167
197	0.1474281781
198	0.1472691746
199	0.1463038399
200	0.1451179288
201	0.1436987694
202	0.1433442376
203	0.1418148152
204	0.1403421141
205	0.1400741232
206	0.139035742
207	0.1378564616
208	0.1369555113
209	0.1362042158
210	0.1361553829
211	0.1360517931
212	0.1357345331
213	0.1353777948
214	0.1342436865
215	0.133370478
216	0.1322552339
217	0.131647765
218	0.1307768817
219	0.1299297342
220	0.1291595835
221	0.1283227582
222	0.1276289822
223	0.126760766
224	0.1260794997
225	0.1250660103
226	0.124364438
227	0.1240152047
228	0.1234793976
229	0.1233005191
230	0.1223888702
231	0.1218746644
232	0.1206509522
233	0.1199822327
234	0.1190919101
235	0.1182024645
236	0.1174863458
237	0.1173464376
238	0.1168743312
239	0.1162846204
240	0.1156550928
241	0.1154119584
242	0.1141776994
243	0.1140035371
244	0.1129807708
245	0.112719634
246	0.1120626357
247	0.111935403
248	0.1114656778
249	0.1114032355
250	0.1105678318
251	0.1101975095
252	0.1096423448
253	0.1091004614
254	0.108319945
255	0.107809359
256	0.1071525328
257	0.106797331
258	0.1060679323
259	0.1057963732
260	0.1053582743
261	0.1050244702
262	0.1046265016
263	0.1045571142
264	0.103878375
265	0.1033530973
266	0.102666718
267	0.1019467
268	0.1019005678
269	0.1009344396
270	0.100185063
271	0.1001136984
272	0.09933311177
273	0.09874557874
274	0.09826461216
275	0.09758479875
276	0.09730861013
277	0.09676018644
278	0.09637451372
279	0.09545849801
280	0.09494633068
281	0.09456217564
282	0.09394233358
283	0.09335951627
284	0.09310003014
285	0.092629534
286	0.09191472197
287	0.09157259521
288	0.09134093502
289	0.09097973539
290	0.09088419329
291	0.09055741303
292	0.09028196439
293	0.08996085288
294	0.0896680313
295	0.08862505406
296	0.08801445887
297	0.08748263987
298	0.08734795126
299	0.08730297185
