iter	Passed	Remaining
0	3	975
1	5	864
2	7	787
3	10	798
4	13	775
5	15	774
6	18	758
7	20	754
8	23	746
9	26	758
10	28	758
11	31	755
12	34	753
13	36	749
14	38	739
15	41	733
16	44	733
17	46	732
18	49	726
19	51	723
20	53	716
21	56	712
22	59	712
23	61	707
24	64	704
25	66	703
26	69	700
27	72	701
28	74	696
29	76	692
30	79	689
31	81	685
32	84	680
33	86	676
34	88	672
35	91	670
36	93	667
37	96	666
38	99	662
39	101	660
40	104	658
41	106	655
42	108	650
43	111	648
44	113	644
45	115	640
46	118	637
47	121	635
48	123	632
49	125	629
50	128	626
51	130	624
52	133	620
53	135	617
54	138	615
55	140	610
56	142	608
57	145	605
58	147	604
59	150	601
60	152	598
61	155	596
62	157	593
63	159	589
64	162	588
65	165	586
66	167	583
67	170	580
68	172	576
69	174	574
70	177	571
71	180	570
72	182	566
73	184	563
74	187	561
75	189	558
76	192	556
77	194	553
78	196	550
79	199	548
80	201	545
81	204	543
82	206	540
83	209	538
84	211	535
85	214	533
86	216	530
87	219	527
88	221	525
89	224	522
90	226	519
91	228	517
92	231	514
93	233	512
94	235	509
95	238	506
96	240	503
97	243	501
98	245	498
99	247	495
100	250	493
101	252	491
102	255	488
103	257	485
104	259	482
105	262	480
106	265	478
107	267	475
108	269	472
109	272	470
110	274	467
111	276	464
112	279	461
113	281	459
114	283	456
115	285	453
116	288	450
117	290	447
118	293	445
119	295	443
120	297	440
121	300	438
122	302	435
123	305	433
124	307	430
125	310	428
126	312	425
127	314	423
128	317	420
129	320	418
130	322	415
131	324	413
132	326	410
133	329	408
134	331	405
135	334	403
136	336	400
137	339	398
138	341	395
139	344	393
140	347	391
141	349	389
142	352	386
143	354	384
144	357	382
145	359	379
146	362	377
147	364	374
148	367	372
149	369	369
150	372	367
151	374	364
152	377	362
153	379	360
154	382	357
155	384	355
156	387	352
157	389	350
158	392	347
159	394	345
160	397	342
161	399	340
162	401	337
163	404	335
164	406	332
165	409	330
166	411	327
167	414	325
168	416	322
169	419	320
170	421	317
171	423	315
172	426	312
173	428	310
174	431	308
175	434	305
176	436	303
177	438	300
178	441	298
179	443	295
180	446	293
181	448	291
182	451	288
183	453	285
184	456	283
185	458	281
186	461	278
187	463	276
188	466	274
189	469	271
190	471	269
191	473	266
192	476	264
193	478	261
194	481	259
195	483	256
196	485	253
197	488	251
198	490	249
199	493	246
200	496	244
201	498	241
202	500	239
203	503	236
204	505	234
205	508	231
206	510	229
207	513	227
208	516	224
209	519	222
210	521	220
211	524	217
212	527	215
213	530	213
214	532	210
215	535	208
216	537	205
217	539	202
218	541	200
219	544	197
220	547	195
221	549	193
222	552	190
223	554	188
224	557	185
225	559	183
226	562	180
227	565	178
228	567	175
229	570	173
230	572	171
231	575	168
232	577	166
233	580	163
234	583	161
235	585	158
236	587	156
237	590	153
238	592	151
239	595	148
240	597	146
241	599	143
242	602	141
243	605	138
244	607	136
245	609	133
246	612	131
247	614	128
248	617	126
249	620	124
250	623	121
251	626	119
252	628	116
253	631	114
254	634	111
255	636	109
256	639	106
257	641	104
258	644	101
259	647	99
260	649	97
261	652	94
262	654	92
263	657	89
264	659	87
265	662	84
266	664	82
267	667	79
268	670	77
269	673	74
270	675	72
271	677	69
272	680	67
273	683	64
274	685	62
275	688	59
276	691	57
277	693	54
278	696	52
279	698	49
280	701	47
281	704	44
282	707	42
283	709	39
284	712	37
285	714	34
286	717	32
287	719	29
288	721	27
289	724	24
290	727	22
291	729	19
292	732	17
293	734	14
294	736	12
295	739	9
296	741	7
297	744	4
298	747	2
299	750	0
