group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
DB,Ridge,0.05779843110327709,0.034228067789295435,11.179705523518004,16.819393766884573,356,90,5
DB,ElasticNet,0.05779608204339626,0.03410924373737023,11.179719459910293,16.820428424748624,356,90,5
DB,Lasso,0.057796305754511,0.03405304593445424,11.179718132688231,16.820917743735436,356,90,5
Front7,Lasso,0.09653774007030935,0.1416663219632016,18.31586134180508,18.154512085779555,516,129,5
Front7,Ridge,0.096540305408367,0.14164268815283132,18.315835338278646,18.15476202199523,516,129,5
Front7,ElasticNet,0.09653099033600299,0.14157567212192745,18.315929760250555,18.155470722398455,516,129,5
OL,Dummy,0.0,-0.0016222045465985602,19.39464917095257,19.79746041658703,186,47,2
OL,Lasso,0.05281813332757257,-0.018515951348001547,18.875506562209914,19.96371811163753,186,47,2
OL,ElasticNet,0.05281664433171562,-0.018566395380614553,18.875521398610932,19.96421247698224,186,47,2
QB,ExtraTrees,1.0,0.1516065181952041,0.0,29.13945638513273,72,19,8
QB,KNN,0.22968752395309022,0.11298064787547346,28.939237108888072,29.795407629187984,72,19,8
QB,Dummy,0.0,-0.00044407049034744794,32.972631748837465,31.64311220009186,72,19,8
Skill,MLP,0.1691644370889417,0.055173096982949366,15.215441282996741,15.014465661006197,472,118,8
Skill,ElasticNet,0.12126237844494703,0.03192490489089295,15.647920238236175,15.198064360916565,472,118,8
Skill,Ridge,0.12128840833781518,0.031923926287193205,15.64768847582279,15.198072042592463,472,118,8
