position,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
QB,Logistic,0.6,0.5885714285714285,0.616,0.6138392857142857,0.6349206349206349,0.7222222222222222
QB,RF,0.75,0.673794853207684,0.7368611815875318,0.7013093289689034,0.6626984126984127,0.4444444444444444
QB,ExtraTrees,0.7166666666666667,0.5937873357228196,0.6831541218637993,0.6503267973856209,0.5912698412698413,0.2777777777777778
QB,GB,0.75,0.7150997150997151,0.7549857549857549,0.7087912087912087,0.7261904761904762,0.6666666666666666
QB,HistGB,0.7333333333333333,0.6273291925465838,0.706832298136646,0.6799999999999999,0.6190476190476191,0.3333333333333333
QB,KNN,0.7,0.4990723562152134,0.625974025974026,0.6071428571428572,0.5317460317460317,0.1111111111111111
QB,NaiveBayes,0.26666666666666666,0.22444183313748534,0.15205640423031727,0.2589285714285714,0.4285714285714286,0.8333333333333334
QB,SVC,0.36666666666666664,0.3638392857142857,0.346875,0.4627329192546584,0.46825396825396826,0.7222222222222222
QB,XGBoost,0.7,0.6164772727272727,0.6880681818181817,0.6304347826086957,0.6111111111111112,0.3888888888888889
QB,CatBoost,0.7666666666666667,0.6739130434782609,0.7434782608695653,0.74,0.6587301587301587,0.3888888888888889
RB,Logistic,0.5169491525423728,0.4902614626752558,0.5574749038220692,0.5518648018648018,0.5765591397849463,0.68
RB,RF,0.6949152542372882,0.5560200668896321,0.6991241993084292,0.5547415547415547,0.5578494623655914,0.32
RB,ExtraTrees,0.7627118644067796,0.5945017182130584,0.7450055332284932,0.6167734420500873,0.5862365591397849,0.28
RB,GB,0.7203389830508474,0.5469458987783595,0.7084627444020469,0.5530612244897959,0.5447311827956989,0.24
RB,HistGB,0.6694915254237288,0.5688992974238876,0.6889040606517683,0.5674119241192412,0.5855913978494623,0.44
RB,KNN,0.7966101694915254,0.4813186813186813,0.7143602160551312,0.8974358974358974,0.52,0.04
RB,NaiveBayes,0.6186440677966102,0.5391825045561052,0.649455694359255,0.5485257985257985,0.5679569892473117,0.48
RB,SVC,0.3135593220338983,0.3075418387307107,0.344740826423143,0.41260162601626016,0.38903225806451613,0.52
RB,XGBoost,0.5508474576271186,0.4744096142532986,0.5899156886848489,0.49702380952380953,0.4956989247311828,0.4
RB,CatBoost,0.7288135593220338,0.5815602836879432,0.7246063228753455,0.5844393592677346,0.5793548387096774,0.32
WR,Logistic,0.6577540106951871,0.596221322537112,0.6729264543506029,0.5943526170798898,0.6129346522781774,0.5208333333333334
WR,RF,0.7165775401069518,0.5666185666185666,0.6906755355953217,0.5929725010912266,0.5638489208633093,0.25
WR,ExtraTrees,0.7379679144385026,0.5437888971869554,0.6886273444811423,0.6176470588235294,0.5509592326139089,0.16666666666666666
WR,GB,0.7005347593582888,0.5464310464310465,0.6750864397923222,0.5654989384288748,0.5462380095923262,0.22916666666666666
WR,HistGB,0.679144385026738,0.514033264033264,0.6518783283489166,0.5257961783439491,0.5182104316546763,0.1875
WR,KNN,0.7272727272727273,0.48684422921711057,0.6577738645535255,0.5568181818181819,0.5164868105515588,0.08333333333333333
WR,NaiveBayes,0.7058823529411765,0.5666371718703914,0.6861778461858767,0.5833333333333333,0.5634742206235012,0.2708333333333333
WR,SVC,0.6737967914438503,0.5635020854857843,0.6702767476366779,0.5651017214397496,0.5623501199040767,0.3333333333333333
WR,XGBoost,0.679144385026738,0.5541958041958042,0.6690475300100969,0.5593537414965986,0.5523081534772183,0.2916666666666667
WR,CatBoost,0.7005347593582888,0.5464310464310465,0.6750864397923222,0.5654989384288748,0.5462380095923262,0.22916666666666666
TE,Logistic,0.5662650602409639,0.4959514170040486,0.6116287010389738,0.5260047281323876,0.541044776119403,0.5
TE,RF,0.6867469879518072,0.5718253968253968,0.7081277490916045,0.5695621468926554,0.5918843283582089,0.4375
TE,ExtraTrees,0.7228915662650602,0.5836423118865868,0.7315946446637149,0.5797697368421053,0.5904850746268657,0.375
TE,GB,0.7590361445783133,0.6128731343283582,0.7590361445783133,0.6128731343283582,0.6128731343283582,0.375
TE,HistGB,0.5903614457831325,0.45814132104454686,0.6226102566949827,0.4716599190283401,0.4608208955223881,0.25
TE,KNN,0.7951807228915663,0.5709942231681362,0.7615527479330518,0.6287593984962406,0.5638992537313433,0.1875
TE,NaiveBayes,0.6506024096385542,0.5696406222063293,0.6843364877353145,0.5778535980148883,0.617070895522388,0.5625
TE,SVC,0.7590361445783133,0.6452991452991452,0.768715889197817,0.6365079365079365,0.6604477611940298,0.5
TE,XGBoost,0.6144578313253012,0.49001536098310294,0.6448096533599837,0.4996626180836707,0.49953358208955223,0.3125
TE,CatBoost,0.6626506024096386,0.5388888888888889,0.6856760374832664,0.5402542372881356,0.5531716417910448,0.375
DL,Logistic,0.6043956043956044,0.5208424747696357,0.6703586014687374,0.5721066082511865,0.6620180475799835,0.7391304347826086
DL,RF,0.7307692307692307,0.5801911217812927,0.7680683953809221,0.5783333333333334,0.6413727098714794,0.5217391304347826
DL,ExtraTrees,0.7802197802197802,0.5898129366689204,0.7986462489505086,0.5809523809523809,0.6138911676237353,0.391304347826087
DL,GB,0.7362637362637363,0.5558267236119585,0.7673735660312841,0.5542914505604818,0.5887339349193328,0.391304347826087
DL,HistGB,0.7252747252747253,0.5671613394216134,0.7626469801127335,0.5671321160042965,0.6196335794366967,0.4782608695652174
DL,KNN,0.7692307692307693,0.4571022727272727,0.7647071678321677,0.4554865424430642,0.4588460486737763,0.043478260869565216
DL,NaiveBayes,0.7802197802197802,0.6208333333333333,0.8045329670329671,0.6073343712160526,0.6696745966639321,0.5217391304347826
DL,SVC,0.6868131868131868,0.5013219247223958,0.7285904980948965,0.5132151741293532,0.5232430954334153,0.30434782608695654
DL,XGBoost,0.7142857142857143,0.5757575757575758,0.7569097569097569,0.5788117394416608,0.6505332239540607,0.5652173913043478
DL,CatBoost,0.7197802197802198,0.5439941046425939,0.7555596945427454,0.5463554987212277,0.5792999726551818,0.391304347826087
LB,Logistic,0.46153846153846156,0.4220020325203252,0.5127032520325202,0.4845238095238095,0.47596153846153844,0.5
LB,RF,0.6,0.5088637024120896,0.6358035454809647,0.523119918699187,0.5336538461538461,0.4230769230769231
LB,ExtraTrees,0.6846153846153846,0.4999530912843606,0.6822778872314476,0.5,0.5,0.19230769230769232
LB,GB,0.7230769230769231,0.5792880258899676,0.7268608414239482,0.5773809523809524,0.5817307692307692,0.34615384615384615
LB,HistGB,0.6076923076923076,0.49692692920555426,0.6385613475984521,0.5069500133654103,0.5096153846153846,0.34615384615384615
LB,KNN,0.7076923076923077,0.43863636363636366,0.6718181818181818,0.4279556650246305,0.4567307692307692,0.038461538461538464
LB,NaiveBayes,0.6461538461538462,0.5582151300236406,0.6764775413711585,0.5639233954451346,0.5913461538461539,0.5
