position,model,rmse,mae,r2
QB,Linear,19.962351594723824,16.36640860094805,0.03320751345718009
QB,Ridge,19.874504554540298,16.320859996113587,0.04169779430633547
QB,RF,17.047866481615806,13.710137245865386,0.29490126375214964
QB,ExtraTrees,20.218745170014877,16.78875,0.008213339340193193
QB,GB,19.050968703922617,14.650211248099582,0.11947033322693001
QB,HistGB,21.874813404076964,17.703209609796147,-0.16091007384627987
QB,KNN,19.896017189377375,15.594999999999999,0.039622093473840825
QB,SVR,22.5270048563344,13.754956893892198,-0.23116644645504003
RB,Linear,14.128240411386905,12.41062589034408,-0.47411109533006623
RB,Ridge,13.985786674123203,12.351060156416919,-0.4445343100458887
RB,RF,12.575144216003903,11.153540106441548,-0.16783103125131205
RB,ExtraTrees,13.252549770656543,11.749576271186445,-0.29703874674609687
RB,GB,16.06447733291331,13.66042958179533,-0.9058436190006411
RB,HistGB,16.504841662454513,14.496174302658586,-1.0117628631624833
RB,KNN,12.540757282570258,10.614406779661016,-0.16145285844911594
RB,SVR,11.873728313250279,9.016037208579567,-0.041185897614766986
WR,Linear,12.889347935710015,10.262282563104012,0.07401005826402596
WR,Ridge,12.871411682469544,10.254100723488602,0.07658539941280973
WR,RF,13.674663604931656,10.634971445869231,-0.04226385738792482
WR,ExtraTrees,13.723768337438488,10.592459893048128,-0.049762686083879126
WR,GB,14.856620611046585,11.36116947935258,-0.23022469609336604
WR,HistGB,14.437766122310917,10.557824405502467,-0.16183479753489416
WR,KNN,14.047701393413183,10.589839572192515,-0.09990432294460971
WR,SVR,14.082653658012005,8.972941931224701,-0.10538450401289334
TE,Linear,9.676965717047077,8.084947612681487,-0.8357061884022234
TE,Ridge,9.634118076260066,8.154143439678514,-0.8194859090396049
TE,RF,8.917391863704793,7.390988785378243,-0.5588361555751253
TE,ExtraTrees,10.327063652108416,8.62897590361446,-1.0906362419043671
TE,GB,10.63126410000224,8.555280843858244,-1.215616450133091
TE,HistGB,10.808031266337776,8.913248719128203,-1.2899075648081402
TE,KNN,9.422173284205208,7.3518072289156615,-0.7403113048625025
TE,SVR,7.034329595659901,5.265255312534345,0.030003440245584434
DL,Linear,14.901482962885328,12.7982684490824,-2.351457507113383
DL,Ridge,14.692754095175397,12.661114145272371,-2.2582256357157373
DL,RF,14.199589017497546,12.197585462548432,-2.0431705014879644
DL,ExtraTrees,15.39229818915798,12.929642857142857,-2.575869595323019
DL,GB,15.37369656916092,12.455753505729403,-2.5672319281446616
DL,HistGB,15.871338491174177,13.274671445123284,-2.801910108038982
DL,KNN,13.581137938048775,11.84120879120879,-1.7838578570569341
DL,SVR,8.547664533117057,7.038272722797721,-0.10273123110676918
LB,Linear,13.340635313641874,11.504562470446317,-0.7287270352603021
LB,Ridge,13.304597725325307,11.436623507364633,-0.7193998921135767
LB,RF,13.190909390499487,11.399801893004744,-0.6901407531815344
LB,ExtraTrees,13.002406286175233,10.975846153846152,-0.6421803988376049
LB,GB,12.9693134857971,10.82249751913543,-0.6338319146812421
LB,HistGB,12.635733345685745,10.499238695994444,-0.550866104089845
LB,KNN,13.756617987773684,11.242307692307692,-0.8382168984099834
LB,SVR,10.232549379312822,7.451565075100227,-0.01704717454850946
DB,Linear,8.832271108894588,7.478487499167595,-0.05183194477830155
DB,Ridge,8.797563888764753,7.439598738823442,-0.04358164647139717
DB,RF,9.162790949936138,7.655124590704945,-0.13202789870428222
DB,ExtraTrees,9.986758818922038,8.25780487804878,-0.3447783146388259
DB,GB,10.065689989138729,8.232485571718934,-0.36611945055048345
DB,HistGB,9.739471402019191,7.922855432388091,-0.2790053088736626
DB,KNN,10.467587603832243,8.779024390243901,-0.47738873131886117
DB,SVR,8.62138971838972,6.681313658155571,-0.002203991755548973
OL,Linear,16.10359119867958,14.29115747780414,-2.03130219170047
OL,Ridge,16.057921570211484,14.246951705905095,-2.0141330847453363
OL,RF,16.722992666242448,14.661023700946904,-2.268976193704677
OL,ExtraTrees,19.040554462346325,16.396861313868612,-3.2378242429347424
OL,GB,18.47242045116553,15.302470305910038,-2.988699963919289
OL,HistGB,18.94831545162425,16.199529505283273,-3.19686473127674
OL,KNN,18.071506386178587,15.599270072992697,-2.817442201841719
OL,SVR,9.601727664873593,8.241589284303945,-0.07766189502279874
