position,model,label_col,positive_class,best_params,cv_best_score,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
QB,SVC,star,1,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.5337173879021705,0.36666666666666664,0.3638392857142857,0.346875,0.4627329192546584,0.46825396825396826,0.7222222222222222
QB,NaiveBayes,star,1,{'var_smoothing': 1e-08},0.5334109828080417,0.3,0.27083333333333337,0.2125,0.3888888888888889,0.4523809523809524,0.8333333333333334
QB,GB,star,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.5300411433072172,0.75,0.7150997150997151,0.7549857549857549,0.7087912087912087,0.7261904761904762,0.6666666666666666
QB,ExtraTrees,star,1,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.5286316922171916,0.8,0.7537619699042408,0.7964432284541724,0.7642045454545454,0.746031746031746,0.6111111111111112
QB,Logistic,star,1,{'C': 0.1},0.5375390655170333,0.6166666666666667,0.5977849023608277,0.6326435441562226,0.6101223581757508,0.6309523809523809,0.6666666666666666
RB,SVC,star,1,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.5300587635972314,0.6779661016949152,0.5031028368794326,0.6729700084144729,0.5034324942791762,0.5032258064516129,0.2
RB,NaiveBayes,star,1,{'var_smoothing': 1e-08},0.5703138576620316,0.6101694915254238,0.5248599439775911,0.6408809286426435,0.5345736434108528,0.5479569892473118,0.44
RB,GB,star,1,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",0.5476161126533446,0.7203389830508474,0.5985153108567893,0.7259616140751887,0.5952380952380952,0.603225806451613,0.4
RB,ExtraTrees,star,1,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.5671593647532809,0.6610169491525424,0.5712209302325582,0.684297398502168,0.5715676728334956,0.5948387096774194,0.48
RB,Logistic,star,1,{'C': 10.0},0.5544339494095273,0.5254237288135594,0.4971080669710807,0.5658746743028146,0.5552975326560232,0.5819354838709678,0.68
WR,SVC,star,1,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.5938415365349881,0.679144385026738,0.5469961240310077,0.6660603987895369,0.5536029671494171,0.5454886091127098,0.2708333333333333
WR,NaiveBayes,star,1,{'var_smoothing': 1e-10},0.633904431249212,0.7005347593582888,0.5626461744069495,0.6821496146981102,0.576797385620915,0.5598770983213429,0.2708333333333333
WR,GB,star,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.611502782241689,0.7005347593582888,0.5464310464310465,0.6750864397923222,0.5654989384288748,0.5462380095923262,0.22916666666666666
WR,ExtraTrees,star,1,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.6265497648440838,0.7058823529411765,0.6064363065855432,0.7027085429511031,0.6089984350547731,0.6043914868105515,0.3958333333333333
WR,Logistic,star,1,{'C': 0.1},0.6206948562211547,0.6631016042780749,0.6005492828806835,0.6774717321666647,0.5980453972257251,0.6165317745803358,0.5208333333333334
TE,SVC,star,1,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.6290844141526415,0.7590361445783133,0.6452991452991452,0.768715889197817,0.6365079365079365,0.6604477611940298,0.5
TE,NaiveBayes,star,1,{'var_smoothing': 1e-08},0.6337467639067426,0.6506024096385542,0.5696406222063293,0.6843364877353145,0.5778535980148883,0.617070895522388,0.5625
TE,GB,star,1,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.5390477296692684,0.7710843373493976,0.6030707274100175,0.7617502479083208,0.6137362637362638,0.5965485074626866,0.3125
TE,ExtraTrees,star,1,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.6097557433779766,0.6626506024096386,0.5388888888888889,0.6856760374832664,0.5402542372881356,0.5531716417910448,0.375
TE,Logistic,star,1,{'C': 1.0},0.6547809859602312,0.5662650602409639,0.4959514170040486,0.6116287010389738,0.5260047281323876,0.541044776119403,0.5
DL,SVC,star,1,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.5481998228335234,0.6483516483516484,0.5127990630751214,0.7048318922168679,0.5368814192343604,0.5756084222039923,0.4782608695652174
DL,NaiveBayes,star,1,{'var_smoothing': 1e-10},0.5410884257160082,0.7802197802197802,0.6208333333333333,0.8045329670329671,0.6073343712160526,0.6696745966639321,0.5217391304347826
DL,GB,star,1,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",0.5662780512760353,0.7252747252747253,0.5578231292517006,0.761157210136802,0.5582348305752561,0.6010391030899644,0.43478260869565216
DL,ExtraTrees,star,1,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.5887731070949739,0.6923076923076923,0.5592458052240097,0.7402099716578181,0.5695190850213587,0.6379546076018594,0.5652173913043478
DL,Logistic,star,1,{'C': 10.0},0.6143264751983158,0.6043956043956044,0.5260416666666666,0.6700434981684982,0.5801091570648877,0.6806125239267159,0.782608695652174
LB,SVC,star,1,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.442105133227143,0.3,0.29662881265235747,0.3258457696652595,0.4218045112781955,0.40384615384615385,0.5769230769230769
LB,NaiveBayes,star,1,{'var_smoothing': 1e-10},0.5259952806933452,0.6461538461538462,0.5582151300236406,0.6764775413711585,0.5639233954451346,0.5913461538461539,0.5
LB,GB,star,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.5626057287258053,0.7230769230769231,0.5792880258899676,0.7268608414239482,0.5773809523809524,0.5817307692307692,0.34615384615384615
LB,ExtraTrees,star,1,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.5917080444530335,0.5384615384615384,0.4787489975942261,0.5846030473135526,0.5154761904761904,0.5240384615384616,0.5
LB,Logistic,star,1,{'C': 0.1},0.5759209678721176,0.47692307692307695,0.4475,0.524,0.5188223938223938,0.5288461538461539,0.6153846153846154
DB,SVC,star,1,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.5692258996934851,0.6146341463414634,0.5881335673050024,0.6396058458181285,0.6110529322162985,0.6466189039718452,0.7115384615384616
DB,NaiveBayes,star,1,{'var_smoothing': 1e-09},0.30747719907971793,0.24878048780487805,0.19921875,0.10106707317073171,0.125,0.49038461538461536,0.9807692307692307
DB,GB,star,1,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",0.5253934644964204,0.6926829268292682,0.5241516524814855,0.6636734451792402,0.5406006674082313,0.527526395173454,0.19230769230769232
DB,ExtraTrees,star,1,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.5616959849922489,0.6048780487804878,0.5456784043339079,0.6264779190515374,0.5510849909584087,0.5639140271493213,0.4807692307692308
DB,Logistic,star,1,{'C': 0.1},0.5865817080223408,0.5853658536585366,0.5633816933523766,0.6116512627202495,0.5963665840167843,0.6270110608345902,0.7115384615384616
