position,model,label_col,positive_class,best_params,cv_best_score,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
QB,ExtraTrees,av_class_q,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.36926136993750247,0.4666666666666667,0.4137806637806638,0.4257756132756133,0.4776021080368906,0.447410797525214,0.5789473684210527
QB,RF,av_class_q,2,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.2984827165321026,0.36666666666666664,0.3004933051444679,0.3145595489781536,0.2638888888888889,0.3493516399694889,0.5263157894736842
QB,Logistic,av_class_q,2,{'C': 10.0},0.37220552230285264,0.4,0.3414497725408308,0.3581481343376339,0.34222222222222226,0.37931180608526144,0.47368421052631576
RB,ExtraTrees,av_class_q,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.4161555277592388,0.3644067796610169,0.3647150643995359,0.3575122864696672,0.37609922017587527,0.39137764046734586,0.48148148148148145
RB,RF,av_class_q,2,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.41171797881208505,0.3728813559322034,0.36933499031336164,0.3753109763012282,0.3938164607535804,0.39488396042517193,0.5555555555555556
RB,Logistic,av_class_q,2,{'C': 1.0},0.3885176607872151,0.3813559322033898,0.36929222265405715,0.3904481787181531,0.40541125541125544,0.3840952836318609,0.48148148148148145
WR,ExtraTrees,av_class_q,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.428463626699039,0.42780748663101603,0.4057674199623352,0.4262734523701622,0.40505711650347664,0.4065928270042194,0.3541666666666667
WR,RF,av_class_q,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.441580003092723,0.42780748663101603,0.3904771504144751,0.41563391283972245,0.3887135733208664,0.39713431786216596,0.3125
WR,Logistic,av_class_q,2,{'C': 0.1},0.4837964228311604,0.46524064171123,0.4595425649530127,0.4730491925399739,0.47920274170274174,0.46028481012658223,0.3958333333333333
TE,ExtraTrees,av_class_q,2,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.426128446716682,0.3253012048192771,0.2816820873010513,0.2881637714496807,0.30597117364447496,0.3540868454661559,0.6111111111111112
TE,RF,av_class_q,2,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.40378728100924216,0.3373493975903614,0.3059210526315789,0.3078630310716551,0.32769726247987113,0.37484035759897827,0.6666666666666666
TE,Logistic,av_class_q,2,{'C': 10.0},0.46300032402543584,0.37349397590361444,0.3615158431517694,0.3707186775601574,0.41627521414755453,0.40932311621966794,0.6666666666666666
DL,ExtraTrees,av_class_q,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.3762592858870455,0.43956043956043955,0.41619813358943797,0.46159250315963163,0.45286052374337604,0.4978919631093544,0.7391304347826086
DL,RF,av_class_q,2,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.3651092341360913,0.4065934065934066,0.39734368072872356,0.4229918757783439,0.43456630493342563,0.48425559947299074,0.7391304347826086
DL,Logistic,av_class_q,2,{'C': 10.0},0.39768177152796363,0.3956043956043956,0.3506476659226616,0.4053192272158677,0.38031878031878036,0.42900746596398776,0.6521739130434783
LB,ExtraTrees,av_class_q,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.42582075874144376,0.3384615384615385,0.33905849259535037,0.3394940527330698,0.37950664136622386,0.3741181657848324,0.5714285714285714
LB,RF,av_class_q,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.3909128839522817,0.2692307692307692,0.2658947200195142,0.25584948180758094,0.3008289241622575,0.3162477954144621,0.5714285714285714
LB,Logistic,av_class_q,2,{'C': 1.0},0.34025160391260506,0.2846153846153846,0.28116705969390116,0.2715605493133583,0.29176987110372893,0.32098765432098764,0.5
DB,ExtraTrees,av_class_q,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.39773629828639895,0.36585365853658536,0.35675000838110565,0.36223729502064206,0.35732474305875134,0.36558246280468504,0.40384615384615385
DB,RF,av_class_q,2,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.3905856684642564,0.35121951219512193,0.34760915651298746,0.35029980099154295,0.34746201221666917,0.35553181386514715,0.4230769230769231
DB,Logistic,av_class_q,2,{'C': 1.0},0.40746863596959,0.4,0.39275589275589273,0.3936605912215668,0.4045868390104655,0.41504431782209555,0.5769230769230769
OL,ExtraTrees,av_class_q,2,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.3857484543577406,0.40145985401459855,0.38869409134520483,0.40580877583145547,0.44100915827270404,0.45300677021107133,0.6666666666666666
OL,RF,av_class_q,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.3826978145732607,0.36496350364963503,0.3525480367585631,0.3746958637469586,0.41197691197691194,0.40433521078682366,0.5714285714285714
OL,Logistic,av_class_q,2,{'C': 10.0},0.4394876531648157,0.4233576642335766,0.40224921277552855,0.44340750810209123,0.46673632880529436,0.42953860158161233,0.47619047619047616
