position,model,best_params,cv_best_score,rmse,mae,r2
QB,SVR,"{'C': 0.1, 'epsilon': 1.0, 'kernel': 'linear'}",-37.113679785130856,19.63279140049784,13.438946780302626,0.0648657362784042
QB,RF,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-35.89275281767401,18.77754425707621,15.016533366641315,0.14456413582743288
QB,Ridge,{'alpha': 100.0},-36.93498253640488,20.267063825798513,17.279555172234133,0.0034673415544425046
RB,SVR,"{'C': 1.0, 'epsilon': 0.5, 'kernel': 'linear'}",-19.288928019983835,11.923574882848365,9.691476208053093,-0.049946159349224306
RB,RF,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-18.53733771789455,12.642051191197703,11.293494385227506,-0.18029115174893984
RB,Ridge,{'alpha': 1.0},-18.730096412012642,13.98578667412321,12.351060156416922,-0.44453431004588984
WR,SVR,"{'C': 10.0, 'epsilon': 0.01, 'kernel': 'linear'}",-18.67169515705138,14.187997777802442,10.18851830130738,-0.12198383136235047
WR,RF,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-17.833038024908525,13.190500574574278,10.412835076350836,0.030234054572133462
WR,Ridge,{'alpha': 100.0},-18.088293537547067,12.864729097516841,10.263157860640408,0.07754398807251717
TE,SVR,"{'C': 10.0, 'epsilon': 0.01, 'kernel': 'linear'}",-13.724150927619778,7.225329017405169,5.790290203817589,-0.023387300679000633
TE,RF,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-14.564037812217085,8.40795288914643,7.08334132015823,-0.385815154726151
TE,Ridge,{'alpha': 100.0},-13.49260957945097,9.58670389847753,8.316142646346126,-0.8016208297892966
DL,SVR,"{'C': 100.0, 'epsilon': 0.5, 'kernel': 'linear'}",-19.90243571497525,10.545663823119314,8.629539036145824,-0.6785047768936274
DL,RF,"{'max_depth': 12, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-19.817129343845625,13.912941052086051,12.267318909295497,-1.9215453112103886
DL,Ridge,{'alpha': 1.0},-19.42742657886526,14.692754095175408,12.661114145272382,-2.2582256357157413
LB,SVR,"{'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}",-19.68450906675439,10.70492535717275,8.837103760674976,-0.11311666865224357
LB,RF,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-18.857603986948114,12.623022900801155,10.893163037026198,-0.5477476014711227
LB,Ridge,{'alpha': 1.0},-19.009410811762848,13.304597725325328,11.436623507364656,-0.7193998921135825
DB,SVR,"{'C': 100.0, 'epsilon': 0.5, 'kernel': 'linear'}",-14.818682841224359,8.558055698438514,7.033873435511315,0.012466604601021558
DB,RF,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-14.820385651204711,9.046174080979627,7.61205891062119,-0.10339612766376338
DB,Ridge,{'alpha': 100.0},-14.679349447867585,8.838004270797036,7.43555819164471,-0.053197908287907936
OL,SVR,"{'C': 100.0, 'epsilon': 0.01, 'kernel': 'linear'}",-21.160125910463815,12.764396080973185,10.99125671844119,-0.9045145860481298
OL,RF,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-20.718028767737486,16.051317417357083,14.378114517272936,-2.0116543452406286
OL,Ridge,{'alpha': 1.0},-20.41305663897328,16.057921570211466,14.246951705905078,-2.0141330847453287
